䊗 #00004297
\U00012de7 #00012de7
\U0003c85b #0003c85b
\U000322de #000322de
գ #00000563
\U0001caae #0001caae
𡤂 #00021902
\U0003adca #0003adca
\U0003db94 #0003db94
𭖤 #0002d5a4
𮋽 #0002e2fd
χ #000003c7
\U0003b29b #0003b29b
྆ #00000f86
\U000143b6 #000143b6
𭤥 #0002d925
\U0003ee75 #0003ee75
𥗜 #000255dc
\U000199f8 #000199f8
𥂷 #000250b7
\U0001dc7d #0001dc7d
𮢊 #0002e88a
\U0003af01 #0003af01
聚 #0000805a
ꖴ #0000a5b4
\U00019fe4 #00019fe4
冠 #000051a0
\U00016a7e #00016a7e
𬨏 #0002ca0f
\U00036065 #00036065
拜 #000062dc
译 #00008bd1
𒔧 #00012527
䰟 #00004c1f
苋 #000082cb
껅 #0000aec5
냛 #0000b0db
𬝩 #0002c769
\U0003b220 #0003b220
\U00019c86 #00019c86
\U0003d65a #0003d65a
𢎄 #00022384
𰧈 #000309c8
\U0001c74a #0001c74a
𒒖 #00012496
𪻙 #0002aed9
\U00036e28 #00036e28
㿴 #00003ff4
\U0001c0fd #0001c0fd
𧕷 #00027577
\U00011871 #00011871
\U0003dbfd #0003dbfd
\U0003301c #0003301c
䩤 #00004a64
騇 #00009a07
𮑎 #0002e44e
栖 #00006816
𢸥 #00022e25
\U000128b5 #000128b5
\U0003761f #0003761f
\uf882 #0000f882
𡍐 #00021350
𘔙 #00018519
𩪑 #00029a91
挻 #0000633b
\U0001c2e2 #0001c2e2
𐚪 #000106aa
き #0000304d
\U00031420 #00031420
𔔌 #0001450c
\U00013b1f #00013b1f
𒑇 #00012447
𭦵 #0002d9b5
𨱪 #00028c6a
毫 #00006beb
\U000317fb #000317fb
\uf55f #0000f55f
𐬛 #00010b1b
\ue97d #0000e97d
蜭 #0000872d
\U00013ca2 #00013ca2
🡠 #0001f860
좭 #0000c8ad
\U00012b45 #00012b45
𬥢 #0002c962
㞜 #0000379c
\U0003896e #0003896e
善 #0002f846
\U0003db91 #0003db91
櫹 #00006af9
\U0001b794 #0001b794
\U00019b27 #00019b27
\U0003eb46 #0003eb46
𩨉 #00029a09
𦤑 #00026911
\U0003f8c7 #0003f8c7
𗁙 #00017059
𐆍 #0001018d
和 #0000548c
裫 #000088eb
谦 #00008c26
믮 #0000bbee
퀮 #0000d02e
𡦣 #000219a3
𛈇 #0001b207
退 #00009000
ꩢ #0000aa62
\U0003955f #0003955f
\U0002f4c7 #0002f4c7
\U00018d80 #00018d80
\U0003c962 #0003c962
\U0003c68c #0003c68c
\U00035215 #00035215
𰐱 #00030431
⡳ #00002873
𘮤 #00018ba4
\U0002fa66 #0002fa66
\uf159 #0000f159
𧘺 #0002763a
\U000146eb #000146eb
\U000388a3 #000388a3
𪑑 #0002a451
𰨙 #00030a19
\U000368e7 #000368e7
𥹵 #00025e75
\U00034a06 #00034a06
\U00032c6a #00032c6a
𩋏 #000292cf
\ue17e #0000e17e
\U00039470 #00039470
\U000393d2 #000393d2
劰 #000052b0
\U00038a22 #00038a22
\U0003cc62 #0003cc62
𩶻 #00029dbb
ɟ #0000025f
\U0003fec3 #0003fec3
𠖏 #0002058f
𢄼 #0002213c
\U0003d36e #0003d36e
𥃻 #000250fb
𝀏 #0001d00f
𝣶 #0001d8f6
𩸂 #00029e02
座 #00005ea7
\U00013595 #00013595
𝘦 #0001d626
𧽚 #00027f5a
𩷣 #00029de3
𢧡 #000229e1
\u05c8 #000005c8
𩞫 #000297ab
堆 #00005806
｛ #0000ff5b
樿 #00006a3f
𔒳 #000144b3
\U0003fbf3 #0003fbf3
逳 #00009033
\U000149b0 #000149b0
𢃝 #000220dd
𠚟 #0002069f
\u0a0e #00000a0e
𫿶 #0002bff6
\U0002eeff #0002eeff
𥘣 #00025623
\U0001c2a1 #0001c2a1
\U000346cb #000346cb
馓 #00009993
住 #00004f4f
𨜀 #00028700
𪭿 #0002ab7f
𒌩 #00012329
\U00039251 #00039251
㊟ #0000329f
ت #0000062a
𮎂 #0002e382
𨫟 #00028adf
𫴎 #0002bd0e
𤔳 #00024533
\ue957 #0000e957
逢 #00009022
莳 #000083b3
\U00033fd1 #00033fd1
\U0001ccac #0001ccac
\U00015036 #00015036
𡒍 #0002148d
𧩭 #00027a6d
𬍬 #0002c36c
\U0003deb0 #0003deb0
𪚟 #0002a69f
\U0001dca0 #0001dca0
𰟿 #000307ff
𬞟 #0002c79f
玈 #00007388
𢃖 #000220d6
🖑 #0001f591
\U0001b6aa #0001b6aa
骥 #00009aa5
𓇜 #000131dc
\U00013ab3 #00013ab3
㓃 #000034c3
\U0003c1df #0003c1df
𬘻 #0002c63b
𪹶 #0002ae76
\U00013fcd #00013fcd
\U00035b51 #00035b51
\U0003917f #0003917f
\U0003fcef #0003fcef
ắ #00001eaf
澶 #00006fb6
𘌶 #00018336
𢹲 #00022e72
𝐮 #0001d42e
\U0001c8c8 #0001c8c8
𦑎 #0002644e
싫 #0000c2eb
ꪄ #0000aa84
\U0003bcc6 #0003bcc6
\U0001ad84 #0001ad84
\U00012b08 #00012b08
\U0003741d #0003741d
\U00038618 #00038618
𐳝 #00010cdd
ƣ #000001a3
뙈 #0000b648
𭇏 #0002d1cf
𡦁 #00021981
\U0003c68e #0003c68e
\U0003bc62 #0003bc62
𣴌 #00023d0c
\ue189 #0000e189
𬰬 #0002cc2c
𨸢 #00028e22
\U00015ef7 #00015ef7
꼄 #0000af04
\U00012a52 #00012a52
\U0003db37 #0003db37
긜 #0000ae1c
输 #00008f93
𤂈 #00024088
\U0001e6c8 #0001e6c8
䝐 #00004750
𪳚 #0002acda
𬵷 #0002cd77
𪤂 #0002a902
𮈩 #0002e229
芻 #000082bb
\U00018e58 #00018e58
𥄞 #0002511e
\U0003ce4c #0003ce4c
\U0001aedc #0001aedc
섅 #0000c105
\U000335c1 #000335c1
𗻅 #00017ec5
\U0003a43d #0003a43d
𔓓 #000144d3
𤒒 #00024492
𒄿 #0001213f
\U00032c0d #00032c0d
\U0003c72e #0003c72e
𗣛 #000178db
𩴪 #00029d2a
\U0001fc50 #0001fc50
𭷴 #0002ddf4
𥂥 #000250a5
අ #00000d85
𑧏 #000119cf
\U0003e9d4 #0003e9d4
\U00016764 #00016764
\U000107a9 #000107a9
𑫋 #00011acb
𥍃 #00025343
\U00011b48 #00011b48
𤖆 #00024586
ᄌ #0000110c
귇 #0000adc7
\uf840 #0000f840
㸻 #00003e3b
\U0001f291 #0001f291
要 #00008981
𠀙 #00020019
闯 #000095ef
𗢀 #00017880
\U00016545 #00016545
𰏐 #000303d0
𩐙 #00029419
𭦱 #0002d9b1
🄞 #0001f11e
铑 #000094d1
\U0001c7e2 #0001c7e2
甴 #00007534
𢪮 #00022aae
𤑰 #00024470
\U0001cd89 #0001cd89
밣 #0000bc23
\U00011dbc #00011dbc
\U00019f69 #00019f69
𦠂 #00026802
𩂙 #00029099
浅 #00006d45
偶 #00005076
\U0001c2fd #0001c2fd
园 #000056ed
𦪔 #00026a94
臜 #000081dc
𦇅 #000261c5
𫗁 #0002b5c1
\ue1af #0000e1af
\U0003788d #0003788d
\U0001b8a6 #0001b8a6
㇋ #000031cb
𡬐 #00021b10
𪐁 #0002a401
𨡭 #0002886d
\U0003e3da #0003e3da
縮 #00007e2e
轨 #00008f68
\U000158c8 #000158c8
ứ #00001ee9
ꊥ #0000a2a5
\U00032bca #00032bca
\U0003d1fb #0003d1fb
𧼅 #00027f05
붠 #0000bda0
𮥞 #0002e95e
텂 #0000d142
\U00014116 #00014116
\U00012546 #00012546
\U0001c600 #0001c600
萌 #0000840c
𛈨 #0001b228
𣛢 #000236e2
\U00034e59 #00034e59
\U00013989 #00013989
\U00018e7e #00018e7e
롿 #0000b87f
𡿣 #00021fe3
𑱐 #00011c50
\u0601 #00000601
䰃 #00004c03
\U0001bf18 #0001bf18
\U00031eb6 #00031eb6
\U0003b7bf #0003b7bf
𣒙 #00023499
\U0001b41d #0001b41d
㶼 #00003dbc
𭐶 #0002d436
\U0003acaa #0003acaa
流 #00006d41
\U0003cccc #0003cccc
🂑 #0001f091
𤧉 #000249c9
脉 #00008109
\U0003c67d #0003c67d
𢚱 #000226b1
\U000384b5 #000384b5
揧 #000063e7
𭢐 #0002d890
\ueaeb #0000eaeb
𬖡 #0002c5a1
𬍅 #0002c345
\U0003cdf6 #0003cdf6
\U00031b16 #00031b16
\U0003f6b3 #0003f6b3
己 #00005df1
𤁝 #0002405d
\u0cd0 #00000cd0
𓍪 #0001336a
\U0002f22b #0002f22b
\U0001ef65 #0001ef65
\U0003aaf3 #0003aaf3
田 #00007530
\U0001971f #0001971f
嫭 #00005aed
𥪗 #00025a97
𘏆 #000183c6
𓁬 #0001306c
𦃦 #000260e6
\U00031655 #00031655
𗩰 #00017a70
红 #00007ea2
\U00012953 #00012953
\U0001539e #0001539e
\U0003f8d2 #0003f8d2
č #0000010d
𢨖 #00022a16
𠻬 #00020eec
\U0001eb22 #0001eb22
𰟶 #000307f6
\U0002f717 #0002f717
\U00010d77 #00010d77
힗 #0000d797
\U0001bab1 #0001bab1
𰃬 #000300ec
\U00035a69 #00035a69
\U0001ea27 #0001ea27
𡡕 #00021855
铮 #000094ee
\U0001e4c1 #0001e4c1
㞌 #0000378c
\U0001d263 #0001d263
\U00038660 #00038660
𠹿 #00020e7f
꼇 #0000af07
𗝠 #00017760
\U00015979 #00015979
矴 #000077f4
\U00036441 #00036441
\U000155cc #000155cc
\U0003f2d1 #0003f2d1
\U0003a766 #0003a766
𬉥 #0002c265
\U000319ba #000319ba
\U0003436a #0003436a
𰅈 #00030148
𧓜 #000274dc
𘤛 #0001891b
𦖭 #000265ad
\U00019ab1 #00019ab1
𑅓 #00011153
\U0003a358 #0003a358
\U00013805 #00013805
\U0001e33a #0001e33a
𦌈 #00026308
尺 #00005c3a
𗪛 #00017a9b
▶ #000025b6
\U00038fee #00038fee
\U00033af8 #00033af8
\ue9a3 #0000e9a3
\U000142d0 #000142d0
\U0001cd7a #0001cd7a
ꭥ #0000ab65
\U000354df #000354df
\U00036e05 #00036e05
𝥊 #0001d94a
拍 #000062cd
덷 #0000b377
\U0003bb63 #0003bb63
调 #00008c03
𫱦 #0002bc66
𫲣 #0002bca3
\U00016ef8 #00016ef8
몚 #0000ba9a
\U0001fbd6 #0001fbd6
𘔍 #0001850d
\U0003fb01 #0003fb01
ᠾ #0000183e
𨙯 #0002866f
\U0001b65a #0001b65a
𣀅 #00023005
\U00018e8e #00018e8e
𐳔 #00010cd4
\U0002ff18 #0002ff18
퀒 #0000d012
\U0003b4fd #0003b4fd
\u0aba #00000aba
𣹁 #00023e41
\uf35b #0000f35b
\U000125fb #000125fb
\U00012ed3 #00012ed3
\uf8f8 #0000f8f8
悧 #000060a7
檊 #00006a8a
𤞨 #000247a8
\U00034355 #00034355
𧭍 #00027b4d
\ue040 #0000e040
\U00013d5f #00013d5f
룇 #0000b8c7
𬲱 #0002ccb1
\ue129 #0000e129
\U0003f867 #0003f867
จ #00000e08
扔 #00006254
杲 #00006772
蒵 #000084b5
\U000350d2 #000350d2
\uf05d #0000f05d
\U000190a7 #000190a7
泄 #00006cc4
𠺤 #00020ea4
\U00036ea2 #00036ea2
\U00016510 #00016510
杭 #0000676d
\uf434 #0000f434
\U0003a32c #0003a32c
莤 #000083a4
\U00037325 #00037325
𘚠 #000186a0
餎 #0000990e
噟 #0000565f
巴 #00005df4
\U0001c37a #0001c37a
\U0003a4bc #0003a4bc
䶬 #00004dac
\U00011768 #00011768
뻯 #0000beef
\U0003f00f #0003f00f
\U00019820 #00019820
𤒌 #0002448c
疗 #00007597
\U0003b98c #0003b98c
\U00015460 #00015460
⇫ #000021eb
\U0001e95b #0001e95b
基 #000057fa
\U0003c50a #0003c50a
\U0001c572 #0001c572
躇 #00008e87
≰ #00002270
\U0001fddb #0001fddb
\U00013523 #00013523
𦼬 #0002f9ad
岷 #00005cb7
\U0003f65a #0003f65a
\U0003fbfb #0003fbfb
\U000339b0 #000339b0
𥺬 #00025eac
\ue336 #0000e336
\U0002f68d #0002f68d
怕 #00006015
ࡅ #00000845
𑒪 #000114aa
䱘 #00004c58
\U0003c5e9 #0003c5e9
\U0003dbe3 #0003dbe3
䂜 #0000409c
据 #0000636e
𥚾 #000256be
䘇 #00004607
Ἱ #00001f39
新 #000065b0
衿 #0000887f
\U00032f97 #00032f97
𠤃 #00020903
𧋦 #000272e6
\U0001665c #0001665c
\U0003749f #0003749f
\U0003bab5 #0003bab5
\U000397cd #000397cd
\u1316 #00001316
\U0003d158 #0003d158
\U00015bb1 #00015bb1
𱆲 #000311b2
𑁖 #00011056
莉 #00008389
\U0001186c #0001186c
\U0003d37d #0003d37d
𠺚 #00020e9a
\U0001bb85 #0001bb85
\U000151c5 #000151c5
𛰍 #0001bc0d
𡑔 #00021454
𡑍 #0002144d
\U00039c48 #00039c48
\ufb11 #0000fb11
ꎮ #0000a3ae
\U0002fd43 #0002fd43
𣼫 #00023f2b
\U0001189e #0001189e
憷 #000061b7
𥸵 #00025e35
\U0001e3ab #0001e3ab
\U000350b8 #000350b8
𝟺 #0001d7fa
𫣷 #0002b8f7
\U0003ad8f #0003ad8f
𰯺 #00030bfa
\U00037be7 #00037be7
𭠰 #0002d830
蔓 #00008513
𣭊 #00023b4a
𦵖 #00026d56
𦓻 #000264fb
𧷨 #00027de8
𢹖 #00022e56
𪳫 #0002aceb
𞣊 #0001e8ca
𥎻 #000253bb
𪰦 #0002ac26
幼 #00005e7c
𤀥 #00024025
\U0001e258 #0001e258
\U00037ecd #00037ecd
ꂜ #0000a09c
\U00014f80 #00014f80
㒻 #0002f9ca
졂 #0000c842
𐊮 #000102ae
\U0003c79b #0003c79b
𐑇 #00010447
膆 #00008186
\U00014cce #00014cce
㟭 #000037ed
䮻 #00004bbb
𪢧 #0002a8a7
𘟓 #000187d3
䠭 #0000482d
\U0003552b #0003552b
㥔 #00003954
𪗠 #0002a5e0
\U00034683 #00034683
牟 #0000725f
𭮩 #0002dba9
\U00013e4f #00013e4f
\U000107f7 #000107f7
\U000163e2 #000163e2
\U0003fada #0003fada
\U0001641f #0001641f
𡬓 #00021b13
\U00015021 #00015021
\uf429 #0000f429
𘒫 #000184ab
\U0003304e #0003304e
𣃆 #000230c6
\U0001a41e #0001a41e
\U00013eba #00013eba
\U00012e6e #00012e6e
\U00014e66 #00014e66
侠 #00004fa0
𭌍 #0002d30d
亚 #00004e9a
𦌀 #00026300
\U0001dda0 #0001dda0
𬂋 #0002c08b
𗈶 #00017236
𑩵 #00011a75
㾟 #00003f9f
管 #00007ba1
𡡷 #00021877
𧚹 #000276b9
貑 #00008c91
𪶚 #0002ad9a
\U0003963a #0003963a
— #00002014
퇘 #0000d1d8
𢃁 #000220c1
\U00039344 #00039344
\U00034cb3 #00034cb3
𭬃 #0002db03
\U0003dfb6 #0003dfb6
\ue940 #0000e940
৺ #000009fa
𢥣 #00022963
听 #0000542c
𡋔 #000212d4
\U000110eb #000110eb
牧 #00007267
\U0003ecd0 #0003ecd0
\U0003d664 #0003d664
\U000383a5 #000383a5
𢸞 #00022e1e
𨸗 #00028e17
𨱑 #00028c51
ݓ #00000753
𢬚 #00022b1a
𪞡 #0002a7a1
\U000119fd #000119fd
碎 #0000788e
\ue41c #0000e41c
ꆨ #0000a1a8
𣆖 #00023196
\U00039e71 #00039e71
🦪 #0001f9aa
ុ #000017bb
㵼 #00003d7c
𖼼 #00016f3c
\uf420 #0000f420
𥲻 #00025cbb
𠶭 #00020dad
ﱷ #0000fc77
𘐕 #00018415
\U000337c4 #000337c4
𠩷 #00020a77
𡰼 #00021c3c
𥧞 #000259de
罪 #00007f6a
𫁿 #0002b07f
앙 #0000c559
𖽧 #00016f67
\U0001c0a9 #0001c0a9
𩅌 #0002914c
\U0001c167 #0001c167
\U0003606e #0003606e
\U000159b2 #000159b2
⦭ #000029ad
\U00038d11 #00038d11
𮝗 #0002e757
原 #0000539f
𬐾 #0002c43e
𝣖 #0001d8d6
\U0003c28c #0003c28c
\U00013f5d #00013f5d
𬛉 #0002c6c9
遇 #00009047
\U00010237 #00010237
冯 #000051af
닂 #0000b2c2
括 #000062ec
𧸆 #00027e06
欇 #00006b07
\U000164d8 #000164d8
\U0003803e #0003803e
\U0003581b #0003581b
𪍝 #0002a35d
\U0001408f #0001408f
\U00035c61 #00035c61
𡉰 #00021270
柯 #000067ef
\U0001dab9 #0001dab9
\U00034cae #00034cae
\U00016b92 #00016b92
𐛕 #000106d5
\U00014eee #00014eee
𭣮 #0002d8ee
\U0001fd54 #0001fd54
䈕 #00004215
𠷄 #00020dc4
𫩑 #0002ba51
𝘎 #0001d60e
\U0002ee2b #0002ee2b
\U0001b586 #0001b586
箅 #00007b85
𭑅 #0002d445
\U000351fc #000351fc
\U000388a6 #000388a6
\U0002fbae #0002fbae
\u0a57 #00000a57
𦎽 #000263bd
\U0003d2b2 #0003d2b2
\U0001cbea #0001cbea
\ue6bf #0000e6bf
𪨞 #0002aa1e
龾 #00009fbe
\U000198eb #000198eb
𧏳 #000273f3
𮖌 #0002e58c
\U0003eecd #0003eecd
𩹻 #00029e7b
𭰸 #0002dc38
𓐊 #0001340a
𥸶 #00025e36
\U0001ebec #0001ebec
𥟍 #000257cd
𡈍 #0002120d
䳾 #00004cfe
𥾿 #00025fbf
𪁰 #0002a070
𭕀 #0002d540
\U0003980b #0003980b
繁 #00007e41
፴ #00001374
𤒈 #00024488
⤎ #0000290e
𢘛 #0002261b
\U0003af15 #0003af15
𩸤 #00029e24
蕩 #00008569
紉 #00007d09
\U00034306 #00034306
㩘 #00003a58
\U00031e7b #00031e7b
𩘾 #0002963e
\U00032147 #00032147
\U000194ea #000194ea
诗 #00008bd7
革 #00009769
ﺂ #0000fe82
𫶷 #0002bdb7
ႅ #00001085
ு #00000bc1
\U0003a6c2 #0003a6c2
䀑 #00004011
\U00034379 #00034379
\U00038bd8 #00038bd8
Ⴊ #000010aa
\uf291 #0000f291
\U00034c7e #00034c7e
\U00033676 #00033676
\U000373dd #000373dd
🛑 #0001f6d1
𮡎 #0002e84e
\U0001999b #0001999b
ዿ #000012ff
ꦠ #0000a9a0
\U0003b202 #0003b202
𣞐 #00023790
ᲆ #00001c86
\U000378b1 #000378b1
\U00018ef2 #00018ef2
\U0003670a #0003670a
𡆔 #00021194
絈 #00007d48
\U000317f2 #000317f2
𨛀 #000286c0
\U00037204 #00037204
\ue58b #0000e58b
\U000195c6 #000195c6
𬊡 #0002c2a1
㓠 #000034e0
韰 #000097f0
𱉷 #00031277
돪 #0000b3ea
𤵋 #00024d4b
뼺 #0000bf3a
\U0003e84f #0003e84f
釄 #000091c4
\U0001ab31 #0001ab31
𤾐 #00024f90
𐔈 #00010508
ᡑ #00001851
\ued7b #0000ed7b
\U0001e7ac #0001e7ac
𥿻 #00025ffb
僓 #000050d3
𪛏 #0002a6cf
\U0001c152 #0001c152
\U00032efa #00032efa
𤨀 #00024a00
\U000361d4 #000361d4
\U0003eb2e #0003eb2e
\U0003d40f #0003d40f
𖹭 #00016e6d
\ue8c4 #0000e8c4
𫜀 #0002b700
\U00034d40 #00034d40
\U00035bcd #00035bcd
𨲔 #00028c94
𧁳 #00027073
𠸭 #00020e2d
\U00014968 #00014968
𤔍 #0002450d
\U0003b89e #0003b89e
ￛ #0000ffdb
\U00035151 #00035151
\U0003cc99 #0003cc99
𤨞 #00024a1e
\U0002f7b5 #0002f7b5
퇞 #0000d1de
𬲆 #0002cc86
\U00010c68 #00010c68
ㅲ #00003172
쭯 #0000cb6f
\U0002f0bf #0002f0bf
Õ #000000d5
𫺤 #0002bea4
\U0003448e #0003448e
𮫰 #0002eaf0
𠶻 #00020dbb
𨪒 #00028a92
𪽝 #0002af5d
𥒄 #00025484
㟰 #000037f0
\U0003c12e #0003c12e
\U00032f2e #00032f2e
鹡 #00009e61
\u0b7a #00000b7a
𦟫 #000267eb
\U00010ec3 #00010ec3
\U00014345 #00014345
𭡰 #0002d870
\U0003e68b #0003e68b
\U0003c0f9 #0003c0f9
𗳊 #00017cca
\U000113bd #000113bd
姝 #000059dd
❛ #0000275b
\ue773 #0000e773
𪰕 #0002ac15
