纄 #00007e84
踄 #00008e04
𧷤 #00027de4
钵 #000094b5
\U000313cc #000313cc
雛 #000096db
𦀼 #0002603c
\U000137f5 #000137f5
鲍 #00009c8d
\ue6d0 #0000e6d0
\U00037b29 #00037b29
刍 #0000520d
찇 #0000cc07
𘍛 #0001835b
\U0001dc67 #0001dc67
𘮙 #00018b99
殎 #00006b8e
𮤈 #0002e908
\U0002f70c #0002f70c
䘺 #0000463a
\U0001c57c #0001c57c
𢮬 #00022bac
\U0003ea44 #0003ea44
\U00013527 #00013527
𬞈 #0002c788
𨰞 #00028c1e
𝆟 #0001d19f
\U00037b9d #00037b9d
兡 #00005161
⃛ #000020db
\U0001e3f9 #0001e3f9
𝡚 #0001d85a
χ #000003c7
\U0003b29b #0003b29b
𑰎 #00011c0e
\U0003ad4b #0003ad4b
\U00033ab1 #00033ab1
𤕲 #00024572
𮊛 #0002e29b
𣐓 #00023413
\U0001dac8 #0001dac8
\U0001e6d3 #0001e6d3
𑚢 #000116a2
\U0003e402 #0003e402
𠄼 #0002013c
聚 #0000805a
𰭓 #00030b53
\U00011266 #00011266
𭶙 #0002dd99
冠 #000051a0
眗 #00007717
𦂠 #000260a0
䥌 #0000494c
拜 #000062dc
𗭄 #00017b44
튎 #0000d28e
译 #00008bd1
\U0002f4c1 #0002f4c1
𒔓 #00012513
𘢵 #000188b5
涝 #00006d9d
\U0003cb4c #0003cb4c
\U0001c903 #0001c903
𢢵 #000228b5
𬄚 #0002c11a
ϣ #000003e3
刐 #00005210
𤘩 #00024629
\U0001dc72 #0001dc72
𐄏 #0001010f
쌹 #0000c339
𐔻 #0001053b
𣳜 #00023cdc
騇 #00009a07
栖 #00006816
\U0003f3da #0003f3da
\U000327ec #000327ec
\U00016164 #00016164
𰻍 #00030ecd
\U0001a243 #0001a243
\U00037666 #00037666
권 #0000ad8c
き #0000304d
\U00031420 #00031420
\U0002ffdc #0002ffdc
𐅔 #00010154
\U0003d219 #0003d219
𨱪 #00028c6a
毫 #00006beb
\U00014e6b #00014e6b
蜭 #0000872d
Ⱖ #00002c26
\U00032b01 #00032b01
\U0001af65 #0001af65
\ue96a #0000e96a
𤏴 #000243f4
\U00012f3e #00012f3e
쯇 #0000cbc7
\U00037ee8 #00037ee8
溫 #00006eab
鶜 #00009d9c
櫹 #00006af9
\U0003db91 #0003db91
𧋁 #000272c1
𠌬 #0002032c
\U0001ff28 #0001ff28
𐨏 #00010a0f
鄪 #0000912a
𭊬 #0002d2ac
𤠍 #0002480d
\U00012cc4 #00012cc4
和 #0000548c
𣗅 #000235c5
\U00011859 #00011859
谦 #00008c26
㩔 #00003a54
\U0003de8d #0003de8d
退 #00009000
𑄾 #0001113e
𑈓 #00011213
\U0001ffef #0001ffef
𧡚 #0002785a
\U00010809 #00010809
𦷹 #00026df9
\U0003bb06 #0003bb06
滆 #00006ec6
𰐱 #00030431
爨 #0002f920
\U00018d20 #00018d20
\ue22c #0000e22c
𣶆 #00023d86
\U00012ce8 #00012ce8
\U0003f7b7 #0003f7b7
\U0002f51e #0002f51e
𝃴 #0001d0f4
\U00019dcc #00019dcc
𗌻 #0001733b
𣤒 #00023912
𥷢 #00025de2
\U00032c6a #00032c6a
𩋏 #000292cf
\U0003b2c5 #0003b2c5
\U0003fd2d #0003fd2d
\U00039470 #00039470
믞 #0000bbde
\U00019484 #00019484
ⶌ #00002d8c
𡔐 #00021510
𰿙 #00030fd9
\U0003fec3 #0003fec3
𦎧 #000263a7
𢄼 #0002213c
\U00034373 #00034373
\U0003d36e #0003d36e
\U00019d81 #00019d81
쩍 #0000ca4d
㹉 #00003e49
㈵ #00003235
㫱 #00003af1
𩸂 #00029e02
慄 #00006144
座 #00005ea7
\U00032501 #00032501
𤏵 #000243f5
\U00034200 #00034200
𧽚 #00027f5a
\U00035f93 #00035f93
𭘖 #0002d616
饰 #00009970
𣞴 #000237b4
\U0003aa5c #0003aa5c
\U00019be9 #00019be9
堆 #00005806
𰄯 #0003012f
𨈍 #0002820d
\U0003650f #0003650f
\U0003d735 #0003d735
𤷳 #00024df3
\U000149b0 #000149b0
\U00016427 #00016427
𧿸 #00027ff8
嘀 #00005600
住 #00004f4f
\U0003d013 #0003d013
𰘏 #0003060f
\U0002f1aa #0002f1aa
\ue7a2 #0000e7a2
\U00031e84 #00031e84
\U000343ad #000343ad
ت #0000062a
𨧎 #000289ce
𮎂 #0002e382
𤩡 #00024a61
𤔳 #00024533
ﱑ #0000fc51
\ufb19 #0000fb19
\U00019f6f #00019f6f
逢 #00009022
\U00016259 #00016259
봍 #0000bd0d
\U0001ea82 #0001ea82
\U00038ff2 #00038ff2
\U0003ea23 #0003ea23
𫃽 #0002b0fd
픚 #0000d51a
\U00033925 #00033925
摠 #00006460
\U00012ca6 #00012ca6
\U00032b06 #00032b06
\U0001c234 #0001c234
𰟿 #000307ff
𢃖 #000220d6
\U00038bdc #00038bdc
𠹈 #00020e48
𮙑 #0002e651
墻 #000058bb
鶬 #00009dac
\U0001edba #0001edba
\U00018e33 #00018e33
𢵹 #00022d79
\U00015739 #00015739
𨐮 #0002842e
炭 #0002f91a
\U00010103 #00010103
ắ #00001eaf
\U0003b9c3 #0003b9c3
➑ #00002791
\U00018f7b #00018f7b
\U0003df5f #0003df5f
𐦢 #000109a2
𥦁 #00025981
𐳝 #00010cdd
읾 #0000c77e
𗣸 #000178f8
ƣ #000001a3
\uf2d1 #0000f2d1
𪍐 #0002a350
\U0003c68e #0003c68e
𥡉 #00025849
𣞅 #00023785
\U0003cc5d #0003cc5d
𧌌 #0002730c
𗂔 #00017094
🨳 #0001fa33
폺 #0000d3fa
\U00015ef7 #00015ef7
𰌃 #00030303
乸 #00004e78
挏 #0000630f
\U00032eac #00032eac
𰟛 #000307db
镖 #00009556
\uecab #0000ecab
峡 #00005ce1
输 #00008f93
𬃭 #0002c0ed
\U0001aa6c #0001aa6c
䝐 #00004750
👑 #0001f451
\U0003c0cf #0003c0cf
\U0001acce #0001acce
𱂀 #00031080
芻 #000082bb
\U0001bd9f #0001bd9f
\U0003f935 #0003f935
ᐢ #00001422
憴 #000061b4
𦴵 #00026d35
𒍣 #00012363
𒑋 #0001244b
𥅪 #0002516a
蔐 #00008510
\U0003f84f #0003f84f
🍘 #0001f358
ڙ #00000699
\U0001be66 #0001be66
ꞥ #0000a7a5
ᾂ #00001f82
❘ #00002758
𠏨 #000203e8
𣏦 #000233e6
칾 #0000ce7e
\U00032037 #00032037
띢 #0000b762
沇 #00006c87
\U00011b48 #00011b48
\U00032775 #00032775
𱊎 #0003128e
\U00035bc0 #00035bc0
𡑙 #00021459
\U0003ba22 #0003ba22
\U0003b548 #0003b548
要 #00008981
\U0003b9db #0003b9db
𐢨 #000108a8
𰚧 #000306a7
\U000125ff #000125ff
\U0003f39b #0003f39b
闯 #000095ef
쓝 #0000c4dd
\ueb64 #0000eb64
𔑩 #00014469
𢬇 #00022b07
𠊄 #00020284
𪱠 #0002ac60
\U0002f11e #0002f11e
\uef83 #0000ef83
\U0001cafd #0001cafd
\U00035dd2 #00035dd2
𘍂 #00018342
\U00011789 #00011789
𤑰 #00024470
\U0001cd89 #0001cd89
\U00011dbc #00011dbc
\U0003b780 #0003b780
\uee35 #0000ee35
\U0002f09f #0002f09f
𓃌 #000130cc
㱐 #00003c50
𢣕 #000228d5
𤝐 #00024750
偶 #00005076
\U00015a2d #00015a2d
园 #000056ed
臜 #000081dc
𭱝 #0002dc5d
\U0003daca #0003daca
⡦ #00002866
\U0001ec2e #0001ec2e
𢨱 #00022a31
諸 #0000fa22
鏗 #000093d7
氉 #00006c09
𨡭 #0002886d
淣 #00006de3
轨 #00008f68
ứ #00001ee9
厄 #00005384
몂 #0000ba82
𡎒 #00021392
㢝 #0000389d
\U0001d53f #0001d53f
\U0001f6ed #0001f6ed
𦿿 #00026fff
\U0003f250 #0003f250
\U0003c5b7 #0003c5b7
𥛈 #000256c8
𰟥 #000307e5
\U0003a9f9 #0003a9f9
\U000155e6 #000155e6
\U00015b06 #00015b06
焯 #0000712f
𭯅 #0002dbc5
𰢕 #00030895
\U0003efcc #0003efcc
\U00014dae #00014dae
𘮯 #00018baf
𦻴 #00026ef4
\U00034eec #00034eec
鱢 #00009c62
ᴡ #00001d21
鞦 #000097a6
\U00012475 #00012475
ି #00000b3f
𭡻 #0002d87b
\U0001b41d #0001b41d
𭐶 #0002d436
𓏔 #000133d4
流 #00006d41
\U0002f12c #0002f12c
🂑 #0001f091
脉 #00008109
\U0003abb5 #0003abb5
䮦 #00004ba6
𦹟 #00026e5f
\U00018f95 #00018f95
깡 #0000ae61
𭢐 #0002d890
𱅉 #00031149
˧ #000002e7
룹 #0000b8f9
\U0003d443 #0003d443
𞋩 #0001e2e9
𝖰 #0001d5b0
\U0003c5ff #0003c5ff
己 #00005df1
\U0001a250 #0001a250
𥂾 #000250be
\U000157f5 #000157f5
\U0003aaf3 #0003aaf3
𤨇 #00024a07
田 #00007530
\U0003314d #0003314d
ᛑ #000016d1
\U0003f453 #0003f453
\U00012603 #00012603
ꈯ #0000a22f
𬨣 #0002ca23
\U00015a40 #00015a40
𠴧 #00020d27
红 #00007ea2
\U00013a45 #00013a45
\U0001ee28 #0001ee28
č #0000010d
≃ #00002243
ᧈ #000019c8
\U0003e25c #0003e25c
\U0002f3f1 #0002f3f1
𗸕 #00017e15
\U00038641 #00038641
\U0003809d #0003809d
㒞 #0000349e
铮 #000094ee
\U0001e4c1 #0001e4c1
\U00038660 #00038660
𪣋 #0002a8cb
\U00034fe7 #00034fe7
年 #0000f98e
産 #00007523
𦔤 #00026524
\U0001672b #0001672b
盋 #000076cb
\U000155cc #000155cc
沝 #00006c9d
ẜ #00001e9c
𤊁 #00024281
𤠁 #00024801
𠭼 #00020b7c
\U0003ffef #0003ffef
᧘ #000019d8
𡷔 #00021dd4
ۆ #000006c6
\U00019c07 #00019c07
𐂖 #00010096
𥄢 #00025122
\U0001e33a #0001e33a
尺 #00005c3a
𣅘 #00023158
\U000361d6 #000361d6
\U0003fdf2 #0003fdf2
𨐲 #00028432
𰬔 #00030b14
\U0003b81c #0003b81c
硎 #0000784e
\U00038388 #00038388
ꭥ #0000ab65
𗐵 #00017435
\U00012b0e #00012b0e
\U0003eaa1 #0003eaa1
拍 #000062cd
\U0003bb63 #0003bb63
\U00039cda #00039cda
\U00018f5e #00018f5e
𥾡 #00025fa1
调 #00008c03
\U0001eab8 #0001eab8
旕 #000065d5
𪺑 #0002ae91
𘔍 #0001850d
\U0003fb01 #0003fb01
㪧 #00003aa7
\U0003b8a5 #0003b8a5
𣌪 #0002332a
⽘ #00002f58
𧙗 #00027657
𩨮 #00029a2e
𭵾 #0002dd7e
\U0003b4fd #0003b4fd
𢋜 #000222dc
𘓪 #000184ea
\U0003387c #0003387c
𘈒 #00018212
\u088e #0000088e
𦼨 #00026f28
Ᏹ #000013f1
\U0003a2e6 #0003a2e6
໌ #00000ecc
\U0003473b #0003473b
檊 #00006a8a
잗 #0000c797
𤭢 #00024b62
𩖰 #000295b0
𥿽 #00025ffd
𢬁 #00022b01
🅄 #0001f144
\ue129 #0000e129
䯶 #00004bf6
\U00035280 #00035280
\U0001db8a #0001db8a
㱲 #00003c72
𝢂 #0001d882
\ue6e2 #0000e6e2
\U000107d4 #000107d4
𠺤 #00020ea4
𪀸 #0002a038
\uec11 #0000ec11
杭 #0000676d
莤 #000083a4
\U00037325 #00037325
\U000397f1 #000397f1
\U000194dd #000194dd
𭞳 #0002d7b3
\U000125e9 #000125e9
巴 #00005df4
疗 #00007597
\U00033753 #00033753
𥠉 #00025809
嶃 #00005d83
莊 #0000838a
基 #000057fa
𥍩 #00025369
𰯢 #00030be2
\U0003c50a #0003c50a
𩪭 #00029aad
躇 #00008e87
\U0003f65a #0003f65a
\U000314bd #000314bd
怕 #00006015
ᵷ #00001d77
\U0003a487 #0003a487
𢖘 #00022598
䱘 #00004c58
𢓁 #000224c1
𡇵 #000211f5
据 #0000636e
𭤬 #0002d92c
\U00034d75 #00034d75
Ἱ #00001f39
\U00014282 #00014282
\U0001dc60 #0001dc60
\U0003da31 #0003da31
\U00011bbb #00011bbb
新 #000065b0
\U0001b671 #0001b671
𢊯 #000222af
𝓌 #0001d4cc
\ue7ee #0000e7ee
𬉧 #0002c267
\U0003749f #0003749f
灔 #00007054
\U0003c60b #0003c60b
😼 #0001f63c
㚛 #0000369b
\U000350ff #000350ff
\U0003bc4a #0003bc4a
莉 #00008389
瓣 #000074e3
\U0003379c #0003379c
\U000107cd #000107cd
\U000107a0 #000107a0
𡚬 #000216ac
\U00032165 #00032165
\ufb11 #0000fb11
𐹦 #00010e66
𠌼 #0002033c
\U00010225 #00010225
ꎮ #0000a3ae
\U0001bcbc #0001bcbc
𞄄 #0001e104
𱀺 #0003103a
𥸵 #00025e35
\U000350b8 #000350b8
𠽤 #00020f64
𘬚 #00018b1a
눡 #0000b221
雧 #000096e7
\U0003931b #0003931b
𰯺 #00030bfa
𬨔 #0002ca14
蔓 #00008513
\U0003b24d #0003b24d
𭗈 #0002d5c8
硨 #00007868
\U0001cfb8 #0001cfb8
\uf39f #0000f39f
𨬇 #00028b07
𢭵 #00022b75
\U0001bd7d #0001bd7d
幼 #00005e7c
𪴌 #0002ad0c
\U0003c6e5 #0003c6e5
ﭦ #0000fb66
\U00014f80 #00014f80
㢁 #00003881
\U0003b1cb #0003b1cb
𤆡 #000241a1
\U00012eab #00012eab
\U0001c2d4 #0001c2d4
\U0001259a #0001259a
\U00039145 #00039145
ច #00001785
살 #0000c0b4
椶 #00006936
𨩯 #00028a6f
쿯 #0000cfef
𤺪 #00024eaa
𡞐 #00021790
䣧 #000048e7
𤁶 #00024076
\U00033ab7 #00033ab7
𫳴 #0002bcf4
\U00036647 #00036647
🅈 #0001f148
𥤴 #00025934
瘡 #00007621
\U0001effa #0001effa
𑧂 #000119c2
𩏔 #000293d4
𰚓 #00030693
\U0003f8d8 #0003f8d8
\U0003e9f0 #0003e9f0
\U0003521c #0003521c
\U00012e6e #00012e6e
㲐 #00003c90
\U00019815 #00019815
侠 #00004fa0
亚 #00004e9a
\U0001c514 #0001c514
\U00015858 #00015858
\U0003eab7 #0003eab7
管 #00007ba1
𔘭 #0001462d
— #00002014
㝡 #00003761
빼 #0000be7c
𢈚 #0002221a
\U000190a6 #000190a6
𣣡 #000238e1
听 #0000542c
牧 #00007267
⎋ #0000238b
\U0003eb36 #0003eb36
\U0001aa11 #0001aa11
𩷺 #00029dfa
𭼗 #0002df17
𦥆 #00026946
\U00036b74 #00036b74
蚙 #00008699
\ufae9 #0000fae9
⍋ #0000234b
\U000398a4 #000398a4
𣠚 #0002381a
\U00019b37 #00019b37
🦪 #0001f9aa
둵 #0000b475
\U00014925 #00014925
\uf402 #0000f402
騙 #00009a19
襽 #0000897d
𪻨 #0002aee8
\U00034461 #00034461
ﱷ #0000fc77
\U0001adff #0001adff
畢 #00007562
𪠽 #0002a83d
𡫛 #00021adb
풟 #0000d49f
𬌨 #0002c328
𥧞 #000259de
罪 #00007f6a
\U00032d35 #00032d35
\U0003263e #0003263e
𘣼 #000188fc
\U00013c99 #00013c99
𧒛 #0002749b
終 #00007d42
𰢡 #000308a1
原 #0000539f
퉷 #0000d277
𬐾 #0002c43e
䃇 #000040c7
\U0001a8ec #0001a8ec
\U000332cc #000332cc
𐤯 #0001092f
\U000377f3 #000377f3
\U00016617 #00016617
遇 #00009047
𒍿 #0001237f
冯 #000051af
\U0003366e #0003366e
\U00014f4f #00014f4f
\U0001df65 #0001df65
括 #000062ec
寠 #00005be0
𤦴 #000249b4
⒐ #00002490
𭾣 #0002dfa3
퍤 #0000d364
\U0003cde5 #0003cde5
𠾮 #00020fae
🤮 #0001f92e
🠺 #0001f83a
\U000361a4 #000361a4
డ #00000c21
\U0001c904 #0001c904
\U0003b881 #0003b881
\U00015df0 #00015df0
柯 #000067ef
ᑅ #00001445
\U000336e5 #000336e5
䵖 #00004d56
\U00035603 #00035603
\U0003dd99 #0003dd99
𐛕 #000106d5
𥝢 #00025762
\U0001165d #0001165d
\U00014aba #00014aba
\U0001b586 #0001b586
\U0003385d #0003385d
\U000374ff #000374ff
\U0003ca85 #0003ca85
🝩 #0001f769
𬂻 #0002c0bb
\U000194de #000194de
\U00035623 #00035623
𡋐 #000212d0
㠩 #00003829
㴘 #00003d18
\U0001e443 #0001e443
쌵 #0000c335
\U0003c39d #0003c39d
\U0003eecd #0003eecd
\U0003ef60 #0003ef60
𦬮 #00026b2e
𪅦 #0002a166
ⲫ #00002cab
🀚 #0001f01a
\U0001ce1f #0001ce1f
𤈋 #0002420b
𪁰 #0002a070
\U00038796 #00038796
鲗 #00009c97
𫉘 #0002b258
繁 #00007e41
𬖽 #0002c5bd
𤒈 #00024488
\U0002fdef #0002fdef
𢑗 #00022457
⮯ #00002baf
\U0001edeb #0001edeb
\U00039b72 #00039b72
\U00032147 #00032147
\U00012653 #00012653
诗 #00008bd7
革 #00009769
\U00033b54 #00033b54
𘗬 #000185ec
𩦹 #000299b9
讦 #00008ba6
\U00032600 #00032600
𰻋 #00030ecb
ு #00000bc1
\U000376ee #000376ee
\U000113be #000113be
𥥂 #00025942
쫋 #0000cacb
\U00013531 #00013531
𗻗 #00017ed7
\U000143ac #000143ac
\U0001ac51 #0001ac51
\U0001999b #0001999b
⽉ #00002f49
〼 #0000303c
\U0001c117 #0001c117
𠺟 #00020e9f
𡜘 #00021718
𦽚 #00026f5a
鞥 #000097a5
\U00013899 #00013899
\ue8a3 #0000e8a3
𡨤 #00021a24
㱡 #00003c61
唟 #0000551f
𭠹 #0002d839
\U000352fa #000352fa
\U000317f2 #000317f2
\U0001c0ef #0001c0ef
𢳑 #00022cd1
萁 #00008401
\U00014c1b #00014c1b
ꍩ #0000a369
\U00014033 #00014033
\ue58b #0000e58b
穙 #00007a59
ꖧ #0000a5a7
𱉷 #00031277
\U0002edd5 #0002edd5
𥼐 #00025f10
\U00014701 #00014701
\U0003e5e2 #0003e5e2
𧒭 #000274ad
\U00031e51 #00031e51
𗊕 #00017295
\U0001c633 #0001c633
𐔈 #00010508
𠹥 #00020e65
\U00036e8e #00036e8e
𭫒 #0002dad2
\U00015d04 #00015d04
𧋼 #000272fc
\ue177 #0000e177
\U000155ae #000155ae
僓 #000050d3
ȹ #00000239
𮋛 #0002e2db
\U000361d4 #000361d4
𡋀 #000212c0
\U00014d5d #00014d5d
\U00011ba0 #00011ba0
𓋤 #000132e4
穜 #00007a5c
\U0003aa4f #0003aa4f
𨂺 #000280ba
𪶮 #0002adae
\U0002f7b5 #0002f7b5
\U00014c1f #00014c1f
🢇 #0001f887
葱 #00008471
𫁮 #0002b06e
𨭔 #00028b54
\U0003586d #0003586d
\U0003afad #0003afad
\U00011daf #00011daf
\U0003d3f9 #0003d3f9
\U000341bc #000341bc
즞 #0000c99e
\U000320e0 #000320e0
帩 #00005e29
\U0003e6c0 #0003e6c0
赆 #00008d46
𢐤 #00022424
\U0003fab3 #0003fab3
闔 #000095d4
𰨉 #00030a09
𣏐 #000233d0
\U0001b134 #0001b134
\U0003b5a2 #0003b5a2
𦶱 #00026db1
\U00012a08 #00012a08
𥒄 #00025484
\U0003c12e #0003c12e
ѿ #0000047f
\U0003e981 #0003e981
𦟫 #000267eb
\U00037465 #00037465
\U0003c7e2 #0003c7e2
릚 #0000b99a
漏 #00006f0f
𘈦 #00018226
𪅵 #0002a175
\U000107a5 #000107a5
\U0003dde2 #0003dde2
\U00038d70 #00038d70
𨌀 #00028300
𝖉 #0001d589
뼙 #0000bf19
𑈐 #00011210
ላ #0000120b
𑒱 #000114b1
𝁱 #0001d071
掎 #0000638e
𧈺 #0002723a
\U0003ba88 #0003ba88
\U00011b45 #00011b45
\U0003ee90 #0003ee90
\U0001e4d7 #0001e4d7
𭮘 #0002db98
𑵭 #00011d6d
\U0003588d #0003588d
\U0001a699 #0001a699
折 #00006298
靠 #00009760
\U0003bbcf #0003bbcf
篆 #00007bc6
𘪆 #00018a86
\U0001aa0b #0001aa0b
陗 #00009657
翬 #00007fec
颜 #0000989c
\U0003a328 #0003a328
𒊧 #000122a7
𤴁 #00024d01
\U00015407 #00015407
짓 #0000c9d3
𭿻 #0002dffb
\U00013c4c #00013c4c
𠌓 #00020313
\U00019563 #00019563
\U000143d7 #000143d7
𝜵 #0001d735
倧 #00005027
\U00035c45 #00035c45
𫲙 #0002bc99
𤉃 #00024243
\U0003e7c5 #0003e7c5
\U0001cf5b #0001cf5b
\U00014c68 #00014c68
琍 #0000740d
𬱕 #0002cc55
𧯝 #00027bdd
띰 #0000b770
칻 #0000ce7b
𣄲 #00023132
\U0003d084 #0003d084
