𮬔 #0002eb14
\u0ca9 #00000ca9
𮍄 #0002e344
\U0001c9c2 #0001c9c2
\U0003632b #0003632b
\U00034970 #00034970
𗓢 #000174e2
\U00038873 #00038873
\U0003ef2c #0003ef2c
\U0003168a #0003168a
𣻺 #00023efa
𫓩 #0002b4e9
譚 #00008b5a
\U0003cbc8 #0003cbc8
\U000315ed #000315ed
𨭊 #00028b4a
ㄶ #00003136
𭣫 #0002d8eb
𬶤 #0002cda4
\x85 #00000085
𭼾 #0002df3e
\U00033bb6 #00033bb6
\U00035970 #00035970
\U00031cf6 #00031cf6
𢺢 #00022ea2
\U0001ad40 #0001ad40
\U00032f67 #00032f67
\U0003338f #0003338f
棵 #000068f5
䨴 #00004a34
\U0001a20b #0001a20b
\U00011554 #00011554
𭱀 #0002dc40
𫵸 #0002bd78
𠫼 #00020afc
触 #000089e6
\U00012dd8 #00012dd8
\ue019 #0000e019
\U00038743 #00038743
\U00012d97 #00012d97
𧊼 #000272bc
ஊ #00000b8a
\U0003ee2c #0003ee2c
𥏽 #000253fd
\U0003db12 #0003db12
憐 #00006190
\U00036dea #00036dea
潉 #00006f49
𦃟 #000260df
𓈷 #00013237
泂 #00006cc2
𣄀 #00023100
\U0003d09c #0003d09c
饚 #0000995a
\U0003b85d #0003b85d
𦵬 #00026d6c
𗳅 #00017cc5
剷 #00005277
𑻫 #00011eeb
𖭒 #00016b52
\U0003f069 #0003f069
𝙰 #0001d670
\U00033985 #00033985
\U00038135 #00038135
望 #0000671b
乘 #00004e58
𨀎 #0002800e
\U00019acc #00019acc
\U0003cf30 #0003cf30
\U0003aae4 #0003aae4
\U00036b6b #00036b6b
\U0003bd22 #0003bd22
\ue68a #0000e68a
𧷤 #00027de4
\U00019265 #00019265
鲍 #00009c8d
ꞑ #0000a791
𧬀 #00027b00
\U0003e5cc #0003e5cc
\U00036fda #00036fda
𰇞 #000301de
찇 #0000cc07
㵕 #00003d55
𐒹 #000104b9
𨊢 #000282a2
\U0003294d #0003294d
搟 #0000641f
磘 #000078d8
\U0003456e #0003456e
𩉫 #0002926b
𣥃 #00023943
𮊃 #0002e283
𭖤 #0002d5a4
𑀄 #00011004
\U0001cfb7 #0001cfb7
χ #000003c7
\U00016bc0 #00016bc0
\U0003ad4b #0003ad4b
𤕲 #00024572
𤽜 #00024f5c
\U00019419 #00019419
𱅠 #00031160
\U0001dc7d #0001dc7d
ᠭ #0000182d
\U00013b6e #00013b6e
聚 #0000805a
𞠠 #0001e820
銽 #000092bd
좮 #0000c8ae
冠 #000051a0
\U000368c4 #000368c4
ꧥ #0000a9e5
𭲴 #0002dcb4
拜 #000062dc
译 #00008bd1
\U0003a3b7 #0003a3b7
𪺜 #0002ae9c
\U0001dcb5 #0001dcb5
껅 #0000aec5
냛 #0000b0db
𒔓 #00012513
𬝩 #0002c769
\ue20f #0000e20f
\U000365f1 #000365f1
涝 #00006d9d
\U0003cb4c #0003cb4c
\U0002f6cd #0002f6cd
갅 #0000ac05
\U0001bcbe #0001bcbe
\U0003c4b5 #0003c4b5
\U000164f0 #000164f0
𧕷 #00027577
\U0002f7a9 #0002f7a9
짢 #0000c9e2
\U0003ad08 #0003ad08
\U0001f2be #0001f2be
騇 #00009a07
\U0001aee1 #0001aee1
栖 #00006816
𮆮 #0002e1ae
𗱝 #00017c5d
\U000128b5 #000128b5
𒀜 #0001201c
\U0001157e #0001157e
ᷘ #00001dd8
\uf882 #0000f882
\U0001c2e2 #0001c2e2
ᵙ #00001d59
𐚪 #000106aa
\U000399d0 #000399d0
𗑍 #0001744d
毫 #00006beb
\U00014e6b #00014e6b
𰄩 #00030129
蜭 #0000872d
𠎾 #000203be
\U00015fa0 #00015fa0
\U000199f1 #000199f1
\U000193a5 #000193a5
㞜 #0000379c
\U00036a4d #00036a4d
𬥢 #0002c962
\U000356c9 #000356c9
𢓮 #000224ee
善 #0002f846
\U00037ee8 #00037ee8
溫 #00006eab
鶜 #00009d9c
曕 #000066d5
𨝶 #00028776
𩨉 #00029a09
𤠍 #0002480d
\U00011973 #00011973
🝜 #0001f75c
𰪞 #00030a9e
\U0001e631 #0001e631
镊 #0000954a
\ueb13 #0000eb13
和 #0000548c
𭋲 #0002d2f2
̡ #00000321
谦 #00008c26
㩔 #00003a54
퀮 #0000d02e
𥷽 #00025dfd
退 #00009000
🭏 #0001fb4f
ℇ #00002107
\U00010809 #00010809
\U000192eb #000192eb
𰗔 #000305d4
\U00012a58 #00012a58
\U00018d80 #00018d80
\U0003bb06 #0003bb06
\U000362e2 #000362e2
𗏯 #000173ef
\U000139b5 #000139b5
𦇽 #000261fd
څ #00000685
\U00012ce8 #00012ce8
\U0001b661 #0001b661
\U0003a091 #0003a091
𣶆 #00023d86
𝃴 #0001d0f4
𧗬 #000275ec
\U00019dcc #00019dcc
𣤒 #00023912
ޛ #0000079b
\uf34e #0000f34e
\U0003401a #0003401a
⟮ #000027ee
\U000393d2 #000393d2
ⶌ #00002d8c
\U0003cc62 #0003cc62
𰿙 #00030fd9
𡩥 #00021a65
蚇 #00008687
\U0003b696 #0003b696
\U00031ca1 #00031ca1
\U0001a613 #0001a613
㹉 #00003e49
ଲ #00000b32
𪼕 #0002af15
㈵ #00003235
灕 #00007055
\U00038c39 #00038c39
䕚 #0000455a
\U000128fc #000128fc
座 #00005ea7
𧷰 #00027df0
\U00032501 #00032501
\U00034200 #00034200
🏜 #0001f3dc
𢪈 #00022a88
𢧡 #000229e1
𭧕 #0002d9d5
𦅹 #00026179
𑩗 #00011a57
\U00016dde #00016dde
\U0003aa5c #0003aa5c
\U00019be9 #00019be9
堆 #00005806
｛ #0000ff5b
\U00011865 #00011865
𧘦 #00027626
樿 #00006a3f
𨈍 #0002820d
\U0003f33b #0003f33b
䊢 #000042a2
\U00038250 #00038250
𘌸 #00018338
𪹽 #0002ae7d
፨ #00001368
住 #00004f4f
\U0001c43b #0001c43b
\U00039251 #00039251
\U0001513b #0001513b
\U0003d013 #0003d013
𒌩 #00012329
\U00035fdf #00035fdf
𰘏 #0003060f
𡴚 #00021d1a
\ue7a2 #0000e7a2
參 #0000f96b
ت #0000062a
𫴎 #0002bd0e
𤔳 #00024533
\U00032316 #00032316
𧬹 #00027b39
𗊘 #00017298
莳 #000083b3
𦑴 #00026474
禹 #000079b9
\U0001e7e9 #0001e7e9
𣠟 #0002381f
\U0001d1f8 #0001d1f8
𧪡 #00027aa1
𛋖 #0001b2d6
\U0003deb0 #0003deb0
𰟑 #000307d1
ꪁ #0000aa81
𪉞 #0002a25e
𥀹 #00025039
𢃖 #000220d6
玈 #00007388
𡏏 #000213cf
\uf6f2 #0000f6f2
𨠓 #00028813
\U0003ad82 #0003ad82
ꜝ #0000a71d
ݦ #00000766
\U000381fe #000381fe
🄡 #0001f121
\U00014de4 #00014de4
🩤 #0001fa64
𨆥 #000281a5
ắ #00001eaf
𨨩 #00028a29
𣴣 #00023d23
𠸡 #00020e21
ꪄ #0000aa84
\U0003d3b8 #0003d3b8
\U0001e56c #0001e56c
𐫚 #00010ada
갩 #0000ac29
饇 #00009947
𗒃 #00017483
\U000367b2 #000367b2
𥡉 #00025849
𮢚 #0002e89a
\uf44c #0000f44c
\U0001feca #0001feca
\U0003edca #0003edca
𗂔 #00017094
폺 #0000d3fa
\U0003ece1 #0003ece1
\U0003b307 #0003b307
𧼩 #00027f29
\U00011f22 #00011f22
输 #00008f93
\U0001e5ef #0001e5ef
𪡕 #0002a855
\U00031556 #00031556
𪳚 #0002acda
\U000326ee #000326ee
\U00034ec0 #00034ec0
\U000313ed #000313ed
\U0003f58b #0003f58b
𪤂 #0002a902
\uef2c #0000ef2c
\U0001eadd #0001eadd
𦞱 #000267b1
𨂢 #000280a2
𤫺 #00024afa
ꔀ #0000a500
\U0003b69c #0003b69c
\U0003eded #0003eded
𗻅 #00017ec5
\U0003a43d #0003a43d
\U00039860 #00039860
𪄐 #0002a110
\U000365db #000365db
\U0002fba0 #0002fba0
\U0001be66 #0001be66
\U0001fdda #0001fdda
\U00014cea #00014cea
\U000316a8 #000316a8
\U000330e8 #000330e8
❘ #00002758
\U0001e237 #0001e237
\U0001952e #0001952e
\U000322ed #000322ed
\U00032037 #00032037
\U0003c5d8 #0003c5d8
\U000107a9 #000107a9
㩁 #00003a41
\uf206 #0000f206
귇 #0000adc7
㸻 #00003e3b
\U000197c1 #000197c1
蟸 #000087f8
\U00019b6c #00019b6c
要 #00008981
𒂢 #000120a2
𠀙 #00020019
闯 #000095ef
\U0001e252 #0001e252
𒄥 #00012125
𗢀 #00017880
𢎑 #00022391
\U00016545 #00016545
𩐙 #00029419
𭦱 #0002d9b1
⠩ #00002829
\uef83 #0000ef83
\U0001cafd #0001cafd
𘍂 #00018342
铑 #000094d1
𠍽 #0002037d
𨈘 #00028218
\U00011789 #00011789
밣 #0000bc23
밒 #0000bc12
\U0003b780 #0003b780
𩷉 #00029dc9
\u0df0 #00000df0
\ue2bf #0000e2bf
\U0001affb #0001affb
\U0003f2c5 #0003f2c5
𪷍 #0002adcd
𓆠 #000131a0
𰖘 #00030598
뛻 #0000b6fb
偶 #00005076
\U00015a2d #00015a2d
\U00014f5a #00014f5a
\U0001c2fd #0001c2fd
𣳱 #00023cf1
园 #000056ed
𪯂 #0002abc2
\U00016295 #00016295
Ỡ #00001ee0
𮚤 #0002e6a4
췐 #0000cdd0
\U00012fe0 #00012fe0
ฺ #00000e3a
𫇕 #0002b1d5
\U00019029 #00019029
轨 #00008f68
\U0002ef89 #0002ef89
ứ #00001ee9
몂 #0000ba82
\U0003d93c #0003d93c
붠 #0000bda0
䭏 #00004b4f
𮥞 #0002e95e
\U00014116 #00014116
․ #00002024
𦿿 #00026fff
\U000391cf #000391cf
\U0003213a #0003213a
\U0003a9f9 #0003a9f9
\U00013989 #00013989
\U0001a4b7 #0001a4b7
\U0003976e #0003976e
\U000338a5 #000338a5
롿 #0000b87f
𭥯 #0002d96f
\U00015fbd #00015fbd
燁 #000071c1
𔑧 #00014467
\ue006 #0000e006
\U0003f0c0 #0003f0c0
쑶 #0000c476
𬏬 #0002c3ec
\U0002ee08 #0002ee08
\uf7c1 #0000f7c1
\U00036422 #00036422
𡻀 #00021ec0
\ue1e3 #0000e1e3
𭆯 #0002d1af
流 #00006d41
\U0003187b #0003187b
脉 #00008109
𭑇 #0002d447
𦹟 #00026e5f
녬 #0000b16c
꤉ #0000a909
𱅉 #00031149
𢗪 #000225ea
\U00035727 #00035727
\U000336b0 #000336b0
\U0003c5ff #0003c5ff
\U0002f007 #0002f007
𓎉 #00013389
𩥯 #0002996f
己 #00005df1
冷 #0000f92e
⨖ #00002a16
𤨇 #00024a07
田 #00007530
𓇋 #000131cb
\U0003a509 #0003a509
𪴅 #0002ad05
\U0002ee6c #0002ee6c
ꈯ #0000a22f
𤱛 #00024c5b
红 #00007ea2
𗸎 #00017e0e
ଊ #00000b0a
č #0000010d
鬋 #00009b0b
\U0001eb25 #0001eb25
𢨖 #00022a16
\U00012a0f #00012a0f
𠻬 #00020eec
\U00032cbf #00032cbf
\U000391ab #000391ab
𠭍 #00020b4d
𨣈 #000288c8
꒟ #0000a49f
\U0002fe37 #0002fe37
\U0001d263 #0001d263
𨵠 #00028d60
\U0003cc97 #0003cc97
៹ #000017f9
䈒 #00004212
年 #0000f98e
淾 #00006dfe
\U0001672b #0001672b
\U0001bfe5 #0001bfe5
𗭳 #00017b73
沝 #00006c9d
隩 #000096a9
𗡻 #0001787b
\U0003a766 #0003a766
𤠁 #00024801
惽 #000060fd
𘎼 #000183bc
𬑄 #0002c444
𦱱 #00026c71
尺 #00005c3a
흘 #0000d758
𩨟 #00029a1f
\U0001395d #0001395d
\U00036c4a #00036c4a
\U00019e79 #00019e79
\U00012b0e #00012b0e
𦛪 #000266ea
\U00035f09 #00035f09
𧩎 #00027a4e
拍 #000062cd
𤘎 #0002460e
\U00015d6f #00015d6f
\U0003fc5c #0003fc5c
\uecfe #0000ecfe
𥾡 #00025fa1
调 #00008c03
旕 #000065d5
ꤩ #0000a929
\U0001a6ff #0001a6ff
𩍒 #00029352
𠊲 #000202b2
𒓲 #000124f2
轒 #00008f52
𣌪 #0002332a
痡 #000075e1
蠭 #0000882d
昹 #00006639
쇴 #0000c1f4
벤 #0000bca4
𢋜 #000222dc
渥 #00006e25
𦹤 #00026e64
\U0001c7fc #0001c7fc
ᠡ #00001821
𰠎 #0003080e
𠼈 #00020f08
\u0aba #00000aba
\uf35b #0000f35b
𭾢 #0002dfa2
\U000383ea #000383ea
\U00035cce #00035cce
\U0003e7b6 #0003e7b6
𩎯 #000293af
棆 #000068c6
\U00012ed3 #00012ed3
𦌏 #0002630f
麩 #00009ea9
㲑 #00003c91
\U0001bbfd #0001bbfd
檊 #00006a8a
𣒁 #00023481
鞟 #0000979f
\U00015a16 #00015a16
𥄬 #0002512c
𨁚 #0002805a
𣻃 #00023ec3
𗵉 #00017d49
껱 #0000aef1
\U0003e173 #0003e173
볆 #0000bcc6
\U0003dd90 #0003dd90
\U00013902 #00013902
𭋤 #0002d2e4
\u206a #0000206a
\U00015b40 #00015b40
𝢂 #0001d882
𬼈 #0002cf08
\U00032a5e #00032a5e
𪀸 #0002a038
杭 #0000676d
\U00039b4a #00039b4a
莤 #000083a4
\U0003fd71 #0003fd71
\U0003b941 #0003b941
\U000125e9 #000125e9
\U0003fef2 #0003fef2
좽 #0000c8bd
\U00039e9c #00039e9c
𘚠 #000186a0
㓂 #000034c2
\U0001eb89 #0001eb89
巴 #00005df4
𥡗 #00025857
𤸐 #00024e10
綠 #0000f93d
𣆬 #000231ac
\U000128c3 #000128c3
疗 #00007597
\U0003dc8c #0003dc8c
̒ #00000312
𨟟 #000287df
⻋ #00002ecb
基 #000057fa
𥍩 #00025369
𭼒 #0002df12
𪳎 #0002acce
\U00010be9 #00010be9
\ue3eb #0000e3eb
\U00013765 #00013765
\U0003fbfb #0003fbfb
\U0001c13c #0001c13c
𩈞 #0002921e
\U00035eab #00035eab
怕 #00006015
쿅 #0000cfc5
\U0001f8c8 #0001f8c8
\U0003a487 #0003a487
𮙯 #0002e66f
𓌉 #00013309
𡇵 #000211f5
\U0001e338 #0001e338
据 #0000636e
𫵦 #0002bd66
坷 #00005777
뾀 #0000bf80
\U0001a08d #0001a08d
ꊈ #0000a288
🥟 #0001f95f
⡘ #00002858
㾦 #00003fa6
\U00011bbb #00011bbb
新 #000065b0
𢊯 #000222af
難 #0000fac7
𧋦 #000272e6
𛊰 #0001b2b0
ਡ #00000a21
\U0003749f #0003749f
\U00032fbb #00032fbb
\U0003c60b #0003c60b
\U0003d158 #0003d158
書 #000066f8
\u1316 #00001316
\U00015b00 #00015b00
㚛 #0000369b
\U00015bb1 #00015bb1
莉 #00008389
驽 #00009a7d
𦬣 #00026b23
ߍ #000007cd
\U0003d223 #0003d223
\U00039e83 #00039e83
\U0003bb88 #0003bb88
\U0002ceab #0002ceab
𠔫 #0002052b
\U0001602d #0001602d
\U000107a0 #000107a0
\U0001a5f5 #0001a5f5
\U00031867 #00031867
\U00037adb #00037adb
\U00038b10 #00038b10
\U0001b88b #0001b88b
뢱 #0000b8b1
𱆈 #00031188
\U0002ed02 #0002ed02
곒 #0000acd2
\U0003931b #0003931b
게 #0000ac8c
𭠰 #0002d830
𬐊 #0002c40a
蔓 #00008513
𣭊 #00023b4a
\U0001f281 #0001f281
굽 #0000ad7d
ⳃ #00002cc3
𦓻 #000264fb
졉 #0000c849
𢇋 #000221cb
𡰩 #00021c29
𥎻 #000253bb
\U0003d37c #0003d37c
\U0001bd7d #0001bd7d
幼 #00005e7c
𢕓 #00022553
ﭦ #0000fb66
\U0001900d #0001900d
𧽹 #00027f79
\U0003b1cb #0003b1cb
ਫ #00000a2b
\U00019586 #00019586
𐑇 #00010447
\U0003b693 #0003b693
𐝕 #00010755
𗒫 #000174ab
𭮩 #0002dba9
\U0003ddf2 #0003ddf2
\U000105fd #000105fd
\U0001a096 #0001a096
𡦪 #000219aa
\U000367f8 #000367f8
𘒫 #000184ab
𗂨 #000170a8
\U0003820e #0003820e
겒 #0000ac92
\U00039108 #00039108
\U0001c52c #0001c52c
\U0001b349 #0001b349
侠 #00004fa0
\U0002eff2 #0002eff2
亚 #00004e9a
𮔭 #0002e52d
\U00036a85 #00036a85
𘮴 #00018bb4
𗈶 #00017236
𑩵 #00011a75
\U00036edd #00036edd
管 #00007ba1
𤡋 #0002484b
𰌧 #00030327
— #00002014
礩 #00007929
\U0003def3 #0003def3
𠀐 #00020010
ڪ #000006aa
\U000190a6 #000190a6
𪎹 #0002a3b9
听 #0000542c
𬺌 #0002ce8c
𦚠 #000266a0
𪽃 #0002af43
嶌 #00005d8c
\U000110eb #000110eb
牧 #00007267
\U00039fdc #00039fdc
⎋ #0000238b
𝋮 #0001d2ee
\U000383a5 #000383a5
\U000326dd #000326dd
섎 #0000c10e
\U0001578d #0001578d
𭼗 #0002df17
𣧿 #000239ff
\uee32 #0000ee32
蚙 #00008699
ݓ #00000753
Ꮿ #000013ef
ࠡ #00000821
\U000113d2 #000113d2
\U00018eee #00018eee
𨈱 #00028231
\U00034311 #00034311
ꊬ #0000a2ac
𖼼 #00016f3c
\uf420 #0000f420
咷 #000054b7
\U0002efb0 #0002efb0
䱴 #00004c74
ﱷ #0000fc77
𰉠 #00030260
\U00031d01 #00031d01
𘐕 #00018415
ꪕ #0000aa95
\U0003ffba #0003ffba
爄 #00007204
𡰼 #00021c3c
𪫥 #0002aae5
罪 #00007f6a
𤸔 #00024e14
𖽧 #00016f67
\U0003263e #0003263e
\U0001c0a9 #0001c0a9
\U00032768 #00032768
𮝗 #0002e757
原 #0000539f
\U00032cb7 #00032cb7
䃇 #000040c7
\ue80b #0000e80b
𥳽 #00025cfd
\U0003d80e #0003d80e
㯏 #00003bcf
\U000139a4 #000139a4
\U00016617 #00016617
遇 #00009047
蓲 #000084f2
\U000341c1 #000341c1
冯 #000051af
\U00011b78 #00011b78
阙 #00009619
括 #000062ec
\U0003869d #0003869d
𣻑 #00023ed1
\U000110fb #000110fb
\U0003dadb #0003dadb
\U000316ca #000316ca
𫇊 #0002b1ca
\U000164d8 #000164d8
\U0003a545 #0003a545
\U00012b21 #00012b21
🤮 #0001f92e
\U000361a4 #000361a4
\U00035c61 #00035c61
\U0003e4e1 #0003e4e1
𰩚 #00030a5a
柯 #000067ef
\U00034cae #00034cae
\U0003a984 #0003a984
𭕛 #0002d55b
\ue9d5 #0000e9d5
\U00031ec9 #00031ec9
\U00033c9c #00033c9c
\U0001b400 #0001b400
\U00015376 #00015376
𖬹 #00016b39
䧬 #000049ec
\U00039521 #00039521
\U0003a1ac #0003a1ac
\U0001fa87 #0001fa87
𛃳 #0001b0f3
\U0002ee2b #0002ee2b
\U0003b618 #0003b618
꧕ #0000a9d5
\U000194de #000194de
\U0003b1a7 #0003b1a7
𣺘 #00023e98
𰺀 #00030e80
\U0003d2b2 #0003d2b2
\U0003cf89 #0003cf89
ꭩ #0000ab69
\U0003eecd #0003eecd
\U0003e2a7 #0003e2a7
𝂀 #0001d080
巢 #0002f882
㦤 #000039a4
𡵀 #00021d40
\U00015622 #00015622
𭕀 #0002d540
ﶧ #0000fda7
繁 #00007e41
\U0003980b #0003980b
𤓓 #000244d3
𣻡 #00023ee1
\U0003de64 #0003de64
𨞰 #000287b0
𧠱 #00027831
\U0001bde0 #0001bde0
蕩 #00008569
𢰒 #00022c12
𡛙 #000216d9
\U0002eef3 #0002eef3
𘔌 #0001850c
𩕫 #0002956b
\U00036ff4 #00036ff4
𩋡 #000292e1
\U00019df1 #00019df1
诗 #00008bd7
革 #00009769
\U00036ce8 #00036ce8
\U00031699 #00031699
𮣡 #0002e8e1
ᘝ #0000161d
\U000385d7 #000385d7
܀ #00000700
\U0003e6b6 #0003e6b6
\U0003718a #0003718a
ு #00000bc1
𡌽 #0002133d
渚 #00006e1a
𝞔 #0001d794
𨠍 #0002880d
𗅫 #0001716b
𦼢 #00026f22
🛑 #0001f6d1
\U0003ae08 #0003ae08
𮡎 #0002e84e
𪤭 #0002a92d
𦽚 #00026f5a
䕪 #0000456a
鞥 #000097a5
\U00019659 #00019659
\U00013899 #00013899
\U000378b1 #000378b1
⪚ #00002a9a
𥘠 #00025620
㱡 #00003c61
\U00031f56 #00031f56
\U0001cfe5 #0001cfe5
𒔚 #0001251a
\U00035bf4 #00035bf4
𢳑 #00022cd1
\U00011ce8 #00011ce8
\U00034184 #00034184
𰜐 #00030710
\U0001901c #0001901c
𪽑 #0002af51
\U0001b842 #0001b842
穙 #00007a59
\U00016292 #00016292
韰 #000097f0
蠂 #00008802
\U000134df #000134df
\U00010584 #00010584
𮖉 #0002e589
𥼐 #00025f10
\U00014701 #00014701
\U0003a8b0 #0003a8b0
ﶒ #0000fd92
䍉 #00004349
矹 #000077f9
𓀲 #00013032
\U0003b770 #0003b770
\U00015d04 #00015d04
\U00036c16 #00036c16
𣴰 #00023d30
\U0003711a #0003711a
𔘦 #00014626
\U0003dfea #0003dfea
\U0003d565 #0003d565
\u1c4b #00001c4b
𣜆 #00023706
\U00037b60 #00037b60
𠸭 #00020e2d
\U0003eddd #0003eddd
穜 #00007a5c
𮟥 #0002e7e5
𤔍 #0002450d
ￛ #0000ffdb
\U00035151 #00035151
𨂺 #000280ba
뒳 #0000b4b3
\U0001409d #0001409d
\U00012b5f #00012b5f
𓂷 #000130b7
골 #0000ace8
𨭔 #00028b54
僠 #000050e0
\U00010c68 #00010c68
𗃄 #000170c4
ㅲ #00003172
𰕦 #00030566
𐠞 #0001081e
利 #0000f9dd
\U00019e26 #00019e26
𤊳 #000242b3
\U00014657 #00014657
\U000320e0 #000320e0
\U00012ce5 #00012ce5
𫝵 #0002b775
𪓯 #0002a4ef
𧕹 #00027579
ꐜ #0000a41c
匱 #00005331
뎋 #0000b38b
𗥀 #00017940
⿶ #00002ff6
\U000165ba #000165ba
萊 #0000840a
𮝒 #0002e752
𐤔 #00010914
ខ #00001781
\U0001deaa #0001deaa
𣁤 #00023064
\U00037465 #00037465
\U00038fb9 #00038fb9
\U0001edd1 #0001edd1
\uf2e8 #0000f2e8
\U000113bd #000113bd
娴 #00005a34
𥽩 #00025f69
\U000154ad #000154ad
⊷ #000022b7
𩷍 #00029dcd
漏 #00006f0f
\U00038a78 #00038a78
낪 #0000b0aa
\U0003dde2 #0003dde2
𦨪 #00026a2a
𦚲 #000266b2
\U00038d70 #00038d70
\U00014f65 #00014f65
ላ #0000120b
