捬 #0000636c
\U00013628 #00013628
\U00037b1f #00037b1f
雪 #000096ea
𨜏 #0002870f
\U0001e99c #0001e99c
\U0003debf #0003debf
\U00019d55 #00019d55
금 #0000ae08
\U00034998 #00034998
\u2452 #00002452
\U0003a324 #0003a324
詼 #00008a7c
𭆎 #0002d18e
\U0003f0b2 #0003f0b2
\U0001ca04 #0001ca04
\U0003b946 #0003b946
𠶚 #00020d9a
\U0001c8df #0001c8df
衴 #00008874
￼ #0000fffc
𢱀 #00022c40
\ua8c7 #0000a8c7
𔐛 #0001441b
\U0001b8a3 #0001b8a3
\U0001cadd #0001cadd
\U00010dcf #00010dcf
\U00015ebc #00015ebc
遜 #0000905c
\U00015ca6 #00015ca6
\uedc4 #0000edc4
襶 #00008976
塷 #00005877
╔ #00002554
\U0003cecc #0003cecc
𦟣 #000267e3
\U000356c2 #000356c2
𐿭 #00010fed
\U0002f20a #0002f20a
\U0002ee1e #0002ee1e
\U00016284 #00016284
\U00032824 #00032824
消 #00006d88
ﳐ #0000fcd0
\U00032bab #00032bab
霸 #00009738
𣰧 #00023c27
\U000389bd #000389bd
𦋮 #000262ee
𑄓 #00011113
撸 #000064b8
\ue720 #0000e720
鴕 #00009d15
\U000353d4 #000353d4
䰓 #00004c13
\U0001b3fe #0001b3fe
\ue556 #0000e556
\U0003d750 #0003d750
𫗽 #0002b5fd
𡐚 #0002141a
\U0001e6d8 #0001e6d8
\U00010ab3 #00010ab3
\U0001525d #0001525d
电 #00007535
𦆼 #000261bc
𣒅 #00023485
膀 #00008180
\U00036426 #00036426
독 #0000b3c5
抨 #000062a8
𢅧 #00022167
𰹴 #00030e74
墥 #000058a5
킓 #0000d093
쓽 #0000c4fd
\U00033431 #00033431
甕 #00007515
짜 #0000c9dc
ᓧ #000014e7
\U00033a40 #00033a40
絗 #00007d57
\U0003da80 #0003da80
\uea8c #0000ea8c
\U000353dd #000353dd
\U0001ee3a #0001ee3a
쁪 #0000c06a
\U0003e8b5 #0003e8b5
\U0001b8af #0001b8af
𗹑 #00017e51
𩫣 #00029ae3
\U0003553e #0003553e
\U0001efcb #0001efcb
𫎘 #0002b398
𗘽 #0001763d
\U00011c91 #00011c91
\U00016abc #00016abc
𬊝 #0002c29d
烛 #000070db
𢟣 #000227e3
\U0003ffb0 #0003ffb0
𬂇 #0002c087
唅 #00005505
\U00036e40 #00036e40
𤻯 #00024eef
\U000351c7 #000351c7
\U0001e1b0 #0001e1b0
\U0001fd8e #0001fd8e
𞋸 #0001e2f8
𓇡 #000131e1
\U00034812 #00034812
𰢯 #000308af
\U0002f392 #0002f392
\U00035311 #00035311
\U00033c63 #00033c63
\U0003597a #0003597a
器 #00005668
𪜺 #0002a73a
\U00036fea #00036fea
𣀀 #00023000
\U00032fd2 #00032fd2
𥉢 #00025262
絙 #00007d59
\U00014ea1 #00014ea1
𑚈 #00011688
𘖌 #0001858c
\U0003da33 #0003da33
ィ #000030a3
券 #00005238
䆊 #0000418a
쭷 #0000cb77
炻 #000070bb
䰽 #00004c3d
\U0001bd00 #0001bd00
╀ #00002540
ꚭ #0000a6ad
𰠖 #00030816
𡄬 #0002112c
\U0003a141 #0003a141
浛 #00006d5b
\U00036832 #00036832
础 #00007840
\U00014c9f #00014c9f
\U0003375e #0003375e
\U0003bf5f #0003bf5f
ⶭ #00002dad
𣇫 #000231eb
\U000117c4 #000117c4
\U00031fda #00031fda
\u0ad3 #00000ad3
\U000327a6 #000327a6
\U00037a9b #00037a9b
𩁏 #0002904f
\U00010cbf #00010cbf
≏ #0000224f
擥 #000064e5
\U0002ff28 #0002ff28
\U0001aa80 #0001aa80
𨉪 #0002826a
𣀕 #00023015
𰜽 #0003073d
뒋 #0000b48b
\U000138bb #000138bb
\uebd7 #0000ebd7
\ue783 #0000e783
𱆦 #000311a6
ㄖ #00003116
𤻒 #00024ed2
㼶 #00003f36
㰯 #00003c2f
\U0003ce0a #0003ce0a
𡫊 #00021aca
𰥜 #0003095c
\U0001aabd #0001aabd
땝 #0000b55d
\U00038d29 #00038d29
\U00031b4a #00031b4a
\U0003247d #0003247d
𠸐 #00020e10
懇 #000061c7
ÿ #000000ff
\U0003d9dd #0003d9dd
\U00019271 #00019271
弱 #00005f31
\U0001ca11 #0001ca11
\U00019fd8 #00019fd8
䌮 #0000432e
𗓲 #000174f2
\U0003c435 #0003c435
𘇢 #000181e2
\U0003c18c #0003c18c
\U00039889 #00039889
𗢉 #00017889
𢳳 #00022cf3
\U0001f1c6 #0001f1c6
㑱 #00003471
ତ #00000b24
땘 #0000b558
輫 #00008f2b
謁 #0000fa62
\U0001394b #0001394b
簇 #00007c07
𗚇 #00017687
\U00013d07 #00013d07
\U00036b91 #00036b91
𛉼 #0001b27c
\U000199c9 #000199c9
\U0003a621 #0003a621
𘙻 #0001867b
縉 #0000fa58
镆 #00009546
𡢩 #000218a9
🡕 #0001f855
𪫾 #0002aafe
\U00012c40 #00012c40
\U00013b4e #00013b4e
\uf885 #0000f885
\U0003710f #0003710f
\U0001aed8 #0001aed8
\uf171 #0000f171
\U0003c6a9 #0003c6a9
\U0001efed #0001efed
𤟧 #000247e7
\U00013668 #00013668
\U000142fc #000142fc
\U0001549c #0001549c
𑤮 #0001192e
\U00013ee9 #00013ee9
\U0002ef0c #0002ef0c
🁿 #0001f07f
쇿 #0000c1ff
\U00018fd7 #00018fd7
\U00014231 #00014231
抸 #000062b8
𐀖 #00010016
\U0003f054 #0003f054
\U00012923 #00012923
\U000324d0 #000324d0
\U0003312a #0003312a
𧥜 #0002795c
𝀎 #0001d00e
\U0001605c #0001605c
★ #00002605
\U00033f17 #00033f17
\U0001476a #0001476a
\U00013baa #00013baa
\U00035133 #00035133
\U000370cb #000370cb
𥆅 #00025185
\U0001e175 #0001e175
\U000156a1 #000156a1
∖ #00002216
𒒬 #000124ac
\U00032862 #00032862
\U0001950e #0001950e
ᖁ #00001581
𘪗 #00018a97
ᭇ #00001b47
\U0003849a #0003849a
\U0003d73a #0003d73a
\U0001a750 #0001a750
騷 #00009a37
螦 #000087a6
\U0003f1e7 #0003f1e7
𣈛 #0002321b
𣇜 #000231dc
𐩹 #00010a79
ꉿ #0000a27f
⨋ #00002a0b
滂 #00006ec2
\U00019da6 #00019da6
\U0001544c #0001544c
𖢳 #000168b3
𥺋 #00025e8b
𢒊 #0002248a
🎜 #0001f39c
𐭅 #00010b45
\U00013ec6 #00013ec6
⛪ #000026ea
𪅡 #0002a161
𫕙 #0002b559
檆 #00006a86
묱 #0000bb31
\U00031b9b #00031b9b
㲪 #00003caa
\U00038886 #00038886
褚 #0000891a
\U0001905d #0001905d
𢉍 #0002224d
⼔ #00002f14
𧽏 #00027f4f
\U00010777 #00010777
𡹄 #00021e44
蟒 #000087d2
\U000343f3 #000343f3
𠨃 #00020a03
𣘙 #00023619
𡦯 #000219af
\U000383e2 #000383e2
\U00036c59 #00036c59
\U00038386 #00038386
\U00010bf3 #00010bf3
鿐 #00009fd0
\U00038899 #00038899
𮖺 #0002e5ba
\U00016411 #00016411
\ued6e #0000ed6e
必 #00005fc5
꾺 #0000afba
\U000326af #000326af
\U0001ce5a #0001ce5a
\U000388de #000388de
𗖷 #000175b7
𝙤 #0001d664
\U0001e052 #0001e052
\U00035b81 #00035b81
믡 #0000bbe1
돰 #0000b3f0
𦶐 #00026d90
咣 #000054a3
\U0003ba97 #0003ba97
𡡄 #00021844
𨡀 #00028840
\U0003f88e #0003f88e
歧 #00006b67
\U0003c0ba #0003c0ba
𠍟 #0002035f
䆄 #00004184
誳 #00008ab3
𮍄 #0002e344
\U0003a18f #0003a18f
\U00012c2c #00012c2c
ၹ #00001079
\ue113 #0000e113
\U0003a9cb #0003a9cb
\U00038324 #00038324
\U00034970 #00034970
\U0001ad5a #0001ad5a
ᛖ #000016d6
\U0003d3f7 #0003d3f7
\U00038dd9 #00038dd9
𩩿 #00029a7f
쇜 #0000c1dc
\U0001fc45 #0001fc45
𝢨 #0001d8a8
廾 #00005efe
𰬀 #00030b00
𡉈 #00021248
\uf54e #0000f54e
𬶤 #0002cda4
\U00031cac #00031cac
\U0001bf33 #0001bf33
\U0001cfad #0001cfad
犮 #000072ae
䗝 #000045dd
𗗠 #000175e0
\U0001521b #0001521b
𥀺 #0002503a
皘 #00007698
\U0003a0f9 #0003a0f9
呂 #00005442
昊 #0000660a
\U0001ca6e #0001ca6e
\U0001e343 #0001e343
\U00039af4 #00039af4
𢺢 #00022ea2
\U0001ce91 #0001ce91
\U0003feac #0003feac
\U00033032 #00033032
𩯷 #00029bf7
褡 #00008921
鶣 #00009da3
𩤇 #00029907
棵 #000068f5
𠂉 #00020089
\U00034328 #00034328
\U0001abec #0001abec
Ρ #000003a1
萉 #00008409
\U00034473 #00034473
𫵸 #0002bd78
\U00016274 #00016274
𡙤 #00021664
𐌅 #00010305
𰧁 #000309c1
쟠 #0000c7e0
\U00014f34 #00014f34
竹 #00007af9
\U0003420e #0003420e
\U000140d8 #000140d8
\U000367f2 #000367f2
触 #000089e6
\U000388a5 #000388a5
\U00031925 #00031925
𩚉 #00029689
\U00010e06 #00010e06
\U0001659b #0001659b
𣹎 #00023e4e
𮅝 #0002e15d
\U00037412 #00037412
\U00033062 #00033062
\U00032308 #00032308
铣 #000094e3
뮺 #0000bbba
ﭨ #0000fb68
\U0003dac2 #0003dac2
𠩇 #00020a47
\U00037b94 #00037b94
𘂹 #000180b9
\U0001ba1a #0001ba1a
𩚭 #000296ad
𰌔 #00030314
𞹮 #0001ee6e
\U00036781 #00036781
\U00014005 #00014005
\U0003892f #0003892f
𤗀 #000245c0
𑑚 #0001145a
㪋 #00003a8b
\U00016feb #00016feb
𩑎 #0002944e
𰘙 #00030619
붢 #0000bda2
𱉎 #0003124e
𮙓 #0002e653
\U0003a2b0 #0003a2b0
𡇠 #000211e0
𨔏 #0002850f
𬻼 #0002cefc
藨 #000085e8
\U0001376e #0001376e
嫐 #00005ad0
쫷 #0000caf7
𡟁 #000217c1
𰖳 #000305b3
𪹈 #0002ae48
泂 #00006cc2
\U00014df1 #00014df1
\U00010daf #00010daf
𢮛 #00022b9b
킛 #0000d09b
烝 #000070dd
饚 #0000995a
\U0002f19c #0002f19c
𧊷 #000272b7
\U0001911c #0001911c
𦵬 #00026d6c
\ue55f #0000e55f
𞅇 #0001e147
ʛ #0000029b
\U0001ac29 #0001ac29
♌ #0000264c
\U0003808f #0003808f
𝛭 #0001d6ed
𭬸 #0002db38
佖 #00004f56
𝙰 #0001d670
\U00033985 #00033985
㰂 #00003c02
\U00014aab #00014aab
ࢱ #000008b1
\U00018f75 #00018f75
鱓 #00009c53
望 #0000671b
🟆 #0001f7c6
𪗲 #0002a5f2
\U00016fb9 #00016fb9
\U0003a97d #0003a97d
𡂵 #000210b5
乘 #00004e58
\U000153bc #000153bc
\U0001e9d9 #0001e9d9
𨀎 #0002800e
獆 #00007346
철 #0000cca0
𘓹 #000184f9
\U00012823 #00012823
\U0003949c #0003949c
𫡽 #0002b87d
㊸ #000032b8
\U00038c3e #00038c3e
𩝠 #00029760
𫐹 #0002b439
𨱋 #00028c4b
𗗅 #000175c5
\U000325fa #000325fa
\U0003d5be #0003d5be
\U0003335d #0003335d
𬘲 #0002c632
\U0003aae4 #0003aae4
\U000368d7 #000368d7
\U000159db #000159db
瘄 #00007604
𠑗 #00020457
\U00036b6b #00036b6b
\U0003316c #0003316c
\ue59e #0000e59e
𢀃 #00022003
𘠿 #0001883f
𫀜 #0002b01c
\U0001cde7 #0001cde7
缱 #00007f31
\U0003cc81 #0003cc81
\U000143a9 #000143a9
𭟍 #0002d7cd
\U000162f0 #000162f0
𣊤 #000232a4
𩖱 #000295b1
鲍 #00009c8d
𬣎 #0002c8ce
ꞑ #0000a791
\U0001b9b9 #0001b9b9
≍ #0000224d
\U000353d5 #000353d5
\U00036fda #00036fda
\U0001d3c0 #0001d3c0
刍 #0000520d
𱌇 #00031307
\U0003fc0e #0003fc0e
𐒹 #000104b9
𪸝 #0002ae1d
ꩼ #0000aa7c
\U0001289d #0001289d
\U0003d1b9 #0003d1b9
崌 #00005d0c
\U0001a27f #0001a27f
𘨬 #00018a2c
𮞅 #0002e785
𝢼 #0001d8bc
𫞧 #0002b7a7
\U0001a62c #0001a62c
\U00011bdc #00011bdc
ꑘ #0000a458
𗇗 #000171d7
𫤬 #0002b92c
\U00035e3e #00035e3e
\U000334f4 #000334f4
𠖣 #000205a3
𨰞 #00028c1e
𝆟 #0001d19f
兡 #00005161
\U000152e5 #000152e5
\U0003663a #0003663a
𭖤 #0002d5a4
⃛ #000020db
\U0001e3f9 #0001e3f9
𮋽 #0002e2fd
χ #000003c7
\U00016bc0 #00016bc0
𤭓 #00024b53
\U0003ef32 #0003ef32
𑰎 #00011c0e
྆ #00000f86
躕 #00008e95
䭹 #00004b79
裚 #000088da
\U0002f7ed #0002f7ed
𮊛 #0002e29b
\uf8da #0000f8da
\U00019419 #00019419
\U0001557a #0001557a
\U0003655a #0003655a
\U0003ff54 #0003ff54
𗰇 #00017c07
𰡰 #00030870
聚 #0000805a
\U000354ff #000354ff
🂼 #0001f0bc
０ #0000ff10
𭶙 #0002dd99
좮 #0000c8ae
𪩙 #0002aa59
冠 #000051a0
\U0003a13d #0003a13d
\U00016a7e #00016a7e
ꧥ #0000a9e5
\U00019a76 #00019a76
릺 #0000b9ba
\U000196cb #000196cb
𣾄 #00023f84
𭲴 #0002dcb4
拜 #000062dc
𗭄 #00017b44
튎 #0000d28e
译 #00008bd1
𘔐 #00018510
𒔧 #00012527
ߒ #000007d2
⤲ #00002932
苋 #000082cb
\uec49 #0000ec49
\U00014cbb #00014cbb
𬝩 #0002c769
\ue20f #0000e20f
\U000365f1 #000365f1
𰑛 #0003045b
\U0003cb4c #0003cb4c
\U0001c903 #0001c903
\U0003b106 #0003b106
𬫑 #0002cad1
♡ #00002661
ࠋ #0000080b
\U0003a0f8 #0003a0f8
갅 #0000ac05
刐 #00005210
𬤀 #0002c900
𢓏 #000224cf
\U0001a6c0 #0001a6c0
\U0001dc72 #0001dc72
𡺜 #00021e9c
🚍 #0001f68d
\U00038da7 #00038da7
\U00039a98 #00039a98
𧕷 #00027577
𮒈 #0002e488
짢 #0000c9e2
㐳 #00003433
𣿥 #00023fe5
𘐡 #00018421
\U00036c9e #00036c9e
𞤎 #0001e90e
𢌈 #00022308
헪 #0000d5ea
\U0003142b #0003142b
\U0002fc6a #0002fc6a
\U00032610 #00032610
栖 #00006816
𮆮 #0002e1ae
⪙ #00002a99
𢸥 #00022e25
𒀜 #0001201c
\U0003f3da #0003f3da
𪂎 #0002a08e
\U00038268 #00038268
\U000327ec #000327ec
\ue1d0 #0000e1d0
𩪑 #00029a91
𘔙 #00018519
\U0003d287 #0003d287
🍰 #0001f370
挻 #0000633b
𩧇 #000299c7
𮟜 #0002e7dc
ｑ #0000ff51
ᵙ #00001d59
𢻼 #00022efc
讉 #00008b89
\U0001bba8 #0001bba8
\U00015279 #00015279
\U000390c2 #000390c2
\U000396c1 #000396c1
\U00031360 #00031360
\U00015277 #00015277
怫 #0000602b
ﮪ #0000fbaa
毫 #00006beb
𰄩 #00030129
\U00032b01 #00032b01
샞 #0000c0de
𢟺 #000227fa
\U0001a282 #0001a282
\U00012b45 #00012b45
𬥢 #0002c962
\U00036a4d #00036a4d
ᑳ #00001473
𦾗 #00026f97
࠶ #00000836
ᑑ #00001451
쯇 #0000cbc7
\U00033c1f #00033c1f
眯 #0000772f
𒅽 #0001217d
\U0003db91 #0003db91
\U0003f196 #0003f196
𠌬 #0002032c
\U0001b794 #0001b794
\U00037b35 #00037b35
𨝶 #00028776
\U0001ff28 #0001ff28
쎉 #0000c389
\U00032ed2 #00032ed2
\U000134f1 #000134f1
𩨉 #00029a09
𧭠 #00027b60
\U0001ef0f #0001ef0f
\U00011973 #00011973
𝣹 #0001d8f9
\U0003f8c7 #0003f8c7
\U0001cea5 #0001cea5
\U0001e631 #0001e631
\U0001df7a #0001df7a
\ueb13 #0000eb13
和 #0000548c
\U000389e4 #000389e4
\U000324dd #000324dd
谦 #00008c26
믮 #0000bbee
\U0003e25b #0003e25b
\U00037e7f #00037e7f
𛈇 #0001b207
\U00019a14 #00019a14
\U0003ed76 #0003ed76
退 #00009000
\U0001a703 #0001a703
\U0003c701 #0003c701
ᗝ #000015dd
\U0001533f #0001533f
𨓔 #000284d4
𡭃 #00021b43
𦷹 #00026df9
𭊮 #0002d2ae
\U00035215 #00035215
𰐱 #00030431
⡳ #00002873
\U0002fa66 #0002fa66
\U0001dc2f #0001dc2f
\uf159 #0000f159
릈 #0000b988
\U000146eb #000146eb
\U00036928 #00036928
𪑚 #0002a45a
\U0001e0b1 #0001e0b1
\U0002ef55 #0002ef55
\uf098 #0000f098
엛 #0000c5db
𦠕 #00026815
𗌻 #0001733b
𥹵 #00025e75
\U0003e6ac #0003e6ac
𧪋 #00027a8b
\U0003c915 #0003c915
𤦇 #00024987
\U00013646 #00013646
𛉰 #0001b270
䞳 #000047b3
䱤 #00004c64
\U0003b696 #0003b696
﹉ #0000fe49
\U00034373 #00034373
\U0003cb31 #0003cb31
\U0002fe69 #0002fe69
\U00038c96 #00038c96
䕱 #00004571
𥃻 #000250fb
𝀏 #0001d00f
\U00014ecf #00014ecf
\U00013f24 #00013f24
\U000107eb #000107eb
蛶 #000086f6
𘁊 #0001804a
𫾧 #0002bfa7
𩸂 #00029e02
䕚 #0000455a
𬪉 #0002ca89
座 #00005ea7
𧷰 #00027df0
\U00013595 #00013595
\U00035f93 #00035f93
🏜 #0001f3dc
𩷣 #00029de3
綊 #00007d8a
𢪈 #00022a88
\U000346ef #000346ef
𨁗 #00028057
\U0001fc1c #0001fc1c
𘌜 #0001831c
𘕂 #00018542
𭧕 #0002d9d5
饰 #00009970
\U0002fb89 #0002fb89
\U00035b0e #00035b0e
𠶜 #00020d9c
漵 #00006f35
\U00013c93 #00013c93
\U00036993 #00036993
\U00016dde #00016dde
𗛢 #000176e2
銵 #000092b5
堆 #00005806
\U00038fe0 #00038fe0
\U00011865 #00011865
\U00038ce4 #00038ce4
樿 #00006a3f
𨈍 #0002820d
\U00037d6f #00037d6f
\U0001c1d0 #0001c1d0
𣨼 #00023a3c
ک #000006a9
𣲋 #00023c8b
逳 #00009033
\U0003da08 #0003da08
\U0003430b #0003430b
\U0003d735 #0003d735
\U00037ded #00037ded
𫿶 #0002bff6
𫋕 #0002b2d5
\U00038250 #00038250
𰿂 #00030fc2
𧿸 #00027ff8
𘌸 #00018338
⋆ #000022c6
፨ #00001368
馓 #00009993
住 #00004f4f
\U00033f7c #00033f7c
𪭿 #0002ab7f
𒂹 #000120b9
\U0003c7f5 #0003c7f5
옘 #0000c618
\U00035fdf #00035fdf
\U00032d50 #00032d50
㨜 #00003a1c
膥 #000081a5
參 #0000f96b
ت #0000062a
묰 #0000bb30
𦅑 #00026151
\U00032316 #00032316
𧬹 #00027b39
𬨍 #0002ca0d
🔣 #0001f523
\U0003cf2e #0003cf2e
\U0003a6dd #0003a6dd
逢 #00009022
\U00034ffe #00034ffe
𥬿 #00025b3f
\U0003dd17 #0003dd17
鮦 #00009ba6
𘓑 #000184d1
\U000158f4 #000158f4
㶔 #00003d94
\U0001a532 #0001a532
𧩭 #00027a6d
𤓿 #000244ff
\U0003ea23 #0003ea23
𧪡 #00027aa1
\U00033925 #00033925
\U0003c7cc #0003c7cc
䨾 #00004a3e
㽉 #00003f49
巆 #00005dc6
訽 #00008a3d
\U00036f03 #00036f03
摠 #00006460
𣲛 #00023c9b
\U0003deb0 #0003deb0
\U0003b06f #0003b06f
𰟑 #000307d1
점 #0000c810
\U00012ca6 #00012ca6
𦭻 #00026b7b
䡥 #00004865
㣦 #000038e6
ꪁ #0000aa81
𬞟 #0002c79f
\U000320e3 #000320e3
\U0001e95a #0001e95a
𡏏 #000213cf
𘠲 #00018832
\U00011f0a #00011f0a
\U0001e67a #0001e67a
𑖁 #00011581
\U00039fb2 #00039fb2
⭭ #00002b6d
\U0003dbe7 #0003dbe7
𪁏 #0002a04f
ꜝ #0000a71d
\U0001e439 #0001e439
𓇜 #000131dc
𠮘 #00020b98
𪮚 #0002ab9a
覾 #000089be
Ẹ #00001eb8
𬉛 #0002c25b
阇 #00009607
𬘻 #0002c63b
\U00019931 #00019931
\U0001cad2 #0001cad2
𩮙 #00029b99
륡 #0000b961
Ꟃ #0000a7c2
𫌠 #0002b320
ắ #00001eaf
匓 #00005313
𢹲 #00022e72
\U0003b5df #0003b5df
\U0003cce1 #0003cce1
\U0001c8c8 #0001c8c8
\U00011b7e #00011b7e
\ue1cf #0000e1cf
𫫕 #0002bad5
𪏀 #0002a3c0
\U00033c68 #00033c68
\U0001c12e #0001c12e
\U000105cf #000105cf
𦧓 #000269d3
𐤇 #00010907
\U00018f7b #00018f7b
𤨬 #00024a2c
\U00012b08 #00012b08
饇 #00009947
𗒃 #00017483
𠛽 #000206fd
ƣ #000001a3
\uf2d1 #0000f2d1
𤴥 #00024d25
\U000367b2 #000367b2
\U00035af5 #00035af5
\U0003f865 #0003f865
\U0001da8c #0001da8c
𣴌 #00023d0c
\U0003bc62 #0003bc62
\uf44c #0000f44c
\U0001a2fc #0001a2fc
𮢚 #0002e89a
䋵 #000042f5
𗂔 #00017094
\U000333e8 #000333e8
꼄 #0000af04
㋛ #000032db
𘦇 #00018987
\U0001cece #0001cece
𰉱 #00030271
ⲿ #00002cbf
\U0002fdb9 #0002fdb9
镖 #00009556
输 #00008f93
\U000156c6 #000156c6
\U0001e5ef #0001e5ef
𫐇 #0002b407
\U00016269 #00016269
𥯝 #00025bdd
\U0003f1c7 #0003f1c7
\U00031556 #00031556
\U0001e6c8 #0001e6c8
👑 #0001f451
\U00034ec0 #00034ec0
\U000313ed #000313ed
𨞂 #00028782
\U0003d246 #0003d246
𔗝 #000145dd
𮈩 #0002e229
\uef2c #0000ef2c
芻 #000082bb
𨂢 #000280a2
\U00018e58 #00018e58
𥳈 #00025cc8
\U0001bd9f #0001bd9f
\U0002f68a #0002f68a
𡾘 #00021f98
懧 #000061e7
𤃸 #000240f8
\U000104d4 #000104d4
㒠 #000034a0
𤒒 #00024492
\U00019a1f #00019a1f
샋 #0000c0cb
\U000369b2 #000369b2
\U00036f82 #00036f82
\U0002f620 #0002f620
\U00019108 #00019108
獒 #00007352
\U0003ecb4 #0003ecb4
𑐫 #0001142b
\u0992 #00000992
댏 #0000b30f
\U0001be66 #0001be66
\U0001fdda #0001fdda
ᄓ #00001113
ꞥ #0000a7a5
\U000330e8 #000330e8
𨷒 #00028dd2
𠏨 #000203e8
𨚵 #000286b5
ᾂ #00001f82
𑫓 #00011ad3
\U0003ca28 #0003ca28
\U0001952e #0001952e
쇦 #0000c1e6
칾 #0000ce7e
𧒸 #000274b8
㩁 #00003a41
\U000350d0 #000350d0
𢓷 #000224f7
\U0003b512 #0003b512
\U0001dcff #0001dcff
\U0001ead4 #0001ead4
\uf206 #0000f206
𘐮 #0001842e
𠖍 #0002058d
𥞵 #000257b5
蟸 #000087f8
\U00037ce4 #00037ce4
要 #00008981
呤 #00005464
𥱸 #00025c78
ǽ #000001fd
\U0003d8fe #0003d8fe
𒂢 #000120a2
𠀙 #00020019
闯 #000095ef
\U0001155b #0001155b
𢾂 #00022f82
𒄥 #00012125
쓝 #0000c4dd
\U0001e347 #0001e347
𰏐 #000303d0
\U0002fcc9 #0002fcc9
𘒽 #000184bd
\U00014387 #00014387
\U00013a82 #00013a82
\U0003dcbc #0003dcbc
\ue53e #0000e53e
𢾶 #00022fb6
ᬛ #00001b1b
\U00035dd2 #00035dd2
𦽒 #00026f52
箐 #00007b90
𤿌 #00024fcc
𨊶 #000282b6
𢪮 #00022aae
𨈘 #00028218
\U000319b0 #000319b0
𪴞 #0002ad1e
\U0001cbe3 #0001cbe3
𤑰 #00024470
핵 #0000d575
\U00034ab7 #00034ab7
\U0003d19d #0003d19d
\U0002f294 #0002f294
𱂱 #000310b1
\U0001cd65 #0001cd65
𩷉 #00029dc9
\U00036346 #00036346
\U0003369b #0003369b
\U000157dc #000157dc
\u0df0 #00000df0
𓃌 #000130cc
𰝇 #00030747
\U00033f36 #00033f36
𪒒 #0002a492
𨫝 #00028add
펵 #0000d3b5
폢 #0000d3e2
\U0003b8c1 #0003b8c1
𡺊 #00021e8a
\U0002f477 #0002f477
𫛯 #0002b6ef
偶 #00005076
\U0003db49 #0003db49
𦬶 #00026b36
园 #000056ed
\U00010fd7 #00010fd7
𨔺 #0002853a
\U00039037 #00039037
\U00016295 #00016295
즌 #0000c98c
⃝ #000020dd
𪊡 #0002a2a1
ŧ #00000167
\ue1af #0000e1af
\U0003b862 #0003b862
簚 #00007c1a
\U00038b43 #00038b43
\U0001ae97 #0001ae97
췐 #0000cdd0
ൡ #00000d61
⫌ #00002acc
淣 #00006de3
𨡭 #0002886d
𫇕 #0002b1d5
𭡛 #0002d85b
\U00033578 #00033578
\U000125e7 #000125e7
𱇭 #000311ed
轨 #00008f68
\U00033d5d #00033d5d
ứ #00001ee9
厄 #00005384
\U00032bca #00032bca
\U00012fb7 #00012fb7
𡎒 #00021392
搴 #00006434
\U0003d1fb #0003d1fb
뎏 #0000b38f
咉 #00005489
텂 #0000d142
䮛 #00004b9b
𓈦 #00013226
𩜟 #0002971f
𰟥 #000307e5
\U000155e6 #000155e6
矅 #000077c5
焯 #0000712f
\U000355c9 #000355c9
\U0002fad4 #0002fad4
\U0003f584 #0003f584
鞅 #00009785
𩙥 #00029665
\U0003eb24 #0003eb24
𠵶 #00020d76
\U0002effa #0002effa
橱 #00006a71
\U00015fbd #00015fbd
鶎 #00009d8e
