𠀝 #0002001d
\U00031cf6 #00031cf6
\U00033e91 #00033e91
\U0003feac #0003feac
𦺼 #00026ebc
𩤇 #00029907
퇇 #0000d1c7
棵 #000068f5
\U0001abec #0001abec
𭱀 #0002dc40
竹 #00007af9
触 #000089e6
\U00031925 #00031925
𩚉 #00029689
\U0003dac2 #0003dac2
𧶇 #00027d87
\U00033478 #00033478
\U00012587 #00012587
\U00014005 #00014005
𤗀 #000245c0
\U0003649d #0003649d
붢 #0000bda2
\U0001a2a7 #0001a2a7
\U00037923 #00037923
\U0001dbed #0001dbed
憐 #00006190
\U00036dea #00036dea
\U00015e22 #00015e22
𣄣 #00023123
𓈷 #00013237
킛 #0000d09b
𦇟 #000261df
\U0003808f #0003808f
\U0001ac29 #0001ac29
㰂 #00003c02
\U00016e35 #00016e35
\U00014aab #00014aab
𧜮 #0002772e
望 #0000671b
🟆 #0001f7c6
벐 #0000bc90
𘉈 #00018248
\U0001c174 #0001c174
𪢤 #0002a8a4
𬈇 #0002c207
乘 #00004e58
𧇇 #000271c7
𩆤 #000291a4
\U0003ee7d #0003ee7d
𫡽 #0002b87d
\U0003335d #0003335d
\U000159db #000159db
瘄 #00007604
𢀃 #00022003
\U0003bd22 #0003bd22
ﻠ #0000fee0
𗹁 #00017e41
\U000313cc #000313cc
鲍 #00009c8d
𭤊 #0002d90a
\U0003e3af #0003e3af
釅 #000091c5
\U0002fa84 #0002fa84
\U0001a0db #0001a0db
𰇞 #000301de
𱌇 #00031307
깔 #0000ae54
\U000127e5 #000127e5
\u1ad6 #00001ad6
𘮙 #00018b99
醏 #0000918f
\ue5c9 #0000e5c9
𭭂 #0002db42
\U0003a29b #0003a29b
\U0003f059 #0003f059
軿 #00008eff
搖 #00006416
\U0003af5c #0003af5c
𨰞 #00028c1e
\U00037b9d #00037b9d
\U0001caae #0001caae
\U00019cdf #00019cdf
兡 #00005161
\U0003663a #0003663a
\U0003fdd9 #0003fdd9
χ #000003c7
\U00031379 #00031379
\U00016bc0 #00016bc0
𩆬 #000291ac
྆ #00000f86
𬌽 #0002c33d
鿈 #00009fc8
\U00032879 #00032879
⻅ #00002ec5
𗸙 #00017e19
𰋚 #000302da
\U0003e402 #0003e402
𠄼 #0002013c
𮢊 #0002e88a
𗰇 #00017c07
聚 #0000805a
𩾮 #00029fae
𭶙 #0002dd99
\U00033fc5 #00033fc5
冠 #000051a0
𧿬 #00027fec
\U0001bda7 #0001bda7
拜 #000062dc
⎗ #00002397
译 #00008bd1
𒔧 #00012527
\U00015a3d #00015a3d
𪺜 #0002ae9c
ᷔ #00001dd4
𒔓 #00012513
𘢵 #000188b5
\U0003be24 #0003be24
𬄚 #0002c11a
𐠒 #00010812
𤘩 #00024629
\U00039228 #00039228
𐄏 #0001010f
𒒖 #00012496
\U0001079d #0001079d
\U00038da7 #00038da7
\U00011871 #00011871
\U0002fc6a #0002fc6a
䍈 #00004348
栖 #00006816
𘮶 #00018bb6
\U00038268 #00038268
\U0001a243 #0001a243
𭜼 #0002d73c
詚 #00008a5a
\U000399d0 #000399d0
씦 #0000c526
𓍋 #0001334b
𭦵 #0002d9b5
𨱪 #00028c6a
毫 #00006beb
𨎁 #00028381
\U00014e6b #00014e6b
뮴 #0000bbb4
𖽈 #00016f48
\U0002fa29 #0002fa29
蜭 #0000872d
𠎾 #000203be
꽜 #0000af5c
🡠 #0001f860
몏 #0000ba8f
좭 #0000c8ad
쾝 #0000cf9d
𧟡 #000277e1
ቪ #0000126a
샞 #0000c0de
𢛢 #000226e2
ᑳ #00001473
\U0003896e #0003896e
𡸣 #00021e23
\U00037ee8 #00037ee8
溫 #00006eab
\U0001b794 #0001b794
\U0003c5da #0003c5da
\U000134f1 #000134f1
𤠍 #0002480d
🝜 #0001f75c
\U0002f53c #0002f53c
𐆍 #0001018d
和 #0000548c
\U00011859 #00011859
谦 #00008c26
䱈 #00004c48
\U0001de44 #0001de44
\U0003f368 #0003f368
\U00037e7f #00037e7f
\U00038e8b #00038e8b
退 #00009000
ꩢ #0000aa62
\U0001a703 #0001a703
밐 #0000bc10
ℇ #00002107
\U0002f4c7 #0002f4c7
𰻮 #00030eee
\U0003c962 #0003c962
\U0003dcbb #0003dcbb
\U0003c68c #0003c68c
\U000362e2 #000362e2
𩠰 #00029830
𦇽 #000261fd
𘮤 #00018ba4
ȥ #00000225
孵 #00005b75
\uf159 #0000f159
🈰 #0001f230
𝃴 #0001d0f4
𐒄 #00010484
\U00034b4f #00034b4f
\U0003ccca #0003ccca
\U00034a06 #00034a06
\uf2ff #0000f2ff
⺽ #00002ebd
\U00039470 #00039470
⟮ #000027ee
緐 #00007dd0
\U00019484 #00019484
\U0003cc62 #0003cc62
𦫴 #00026af4
𡿊 #00021fca
髸 #00009af8
\U00014978 #00014978
\U00019d81 #00019d81
쩍 #0000ca4d
\U0003d367 #0003d367
\U00033166 #00033166
\U000116d4 #000116d4
座 #00005ea7
𰙙 #00030659
𣝖 #00023756
\uecd5 #0000ecd5
綊 #00007d8a
𠶜 #00020d9c
\U00013c93 #00013c93
堆 #00005806
\U00036624 #00036624
\U00013911 #00013911
\U0001ac06 #0001ac06
𨈍 #0002820d
𔒳 #000144b3
\U0003d735 #0003d735
\U00016427 #00016427
𫋕 #0002b2d5
𪍶 #0002a376
住 #00004f4f
ᘗ #00001617
𪭿 #0002ab7f
\U0003feef #0003feef
\U0003d013 #0003d013
\U0001e70e #0001e70e
\U0001b9da #0001b9da
ت #0000062a
\U00039d85 #00039d85
𦅑 #00026151
𤔳 #00024533
䎫 #000043ab
\ue345 #0000e345
𛀹 #0001b039
\U00032316 #00032316
\U00015f9a #00015f9a
𥍀 #00025340
\U000327d5 #000327d5
⑵ #00002475
耙 #00008019
\U000158f4 #000158f4
㶔 #00003d94
\U0003b2d9 #0003b2d9
𤓿 #000244ff
𫃽 #0002b0fd
\U0003861c #0003861c
訽 #00008a3d
翌 #00007fcc
ꪁ #0000aa81
𥀹 #00025039
𘠲 #00018832
𡐹 #00021439
𖢛 #0001689b
𭙊 #0002d64a
🕴 #0001f574
墻 #000058bb
\U0003c768 #0003c768
\U0001edba #0001edba
𪮚 #0002ab9a
🄡 #0001f121
𣘤 #00023624
𪹶 #0002ae76
\U0002eda4 #0002eda4
\U00035b51 #00035b51
\U0003fcef #0003fcef
ắ #00001eaf
\uf72a #0000f72a
\ue1cf #0000e1cf
㥀 #00003940
𬒍 #0002c48d
\U0001e56c #0001e56c
𤨬 #00024a2c
\U00036393 #00036393
𗢙 #00017899
𐳝 #00010cdd
\U00019a80 #00019a80
\U0003c52e #0003c52e
𰾴 #00030fb4
𣪀 #00023a80
\U0003c68e #0003c68e
\U0001a002 #0001a002
餒 #00009912
𘂰 #000180b0
𨛙 #000286d9
𰌃 #00030303
🯊 #0001fbca
ⲿ #00002cbf
镖 #00009556
\U00011f22 #00011f22
输 #00008f93
\U0001e5ef #0001e5ef
킡 #0000d0a1
\u2428 #00002428
\U0003b33b #0003b33b
吠 #00005420
𱂀 #00031080
𢜌 #0002270c
࠳ #00000833
\U00038937 #00038937
\U0003b69c #0003b69c
\U000162c7 #000162c7
♚ #0000265a
釤 #000091e4
\U0001eb54 #0001eb54
𩁌 #0002904c
𤃸 #000240f8
\U0003d9cb #0003d9cb
샋 #0000c0cb
𥅪 #0002516a
𗣛 #000178db
𑐫 #0001142b
𡳺 #00021cfa
𣒤 #000234a4
\U0003ca28 #0003ca28
\U000330e8 #000330e8
輱 #00008f31
\ue439 #0000e439
𤕧 #00024567
\U00016764 #00016764
𑫋 #00011acb
㩁 #00003a41
𤪽 #00024abd
\U000371f3 #000371f3
\U0003b512 #0003b512
\U00035044 #00035044
𫘘 #0002b618
\U000329e8 #000329e8
要 #00008981
𝥗 #0001d957
𦜌 #0002670c
闯 #000095ef
\U0001e252 #0001e252
\U0001aa96 #0001aa96
𔑩 #00014469
\U0001e347 #0001e347
\U0001b481 #0001b481
𭻤 #0002dee4
\U00013cf1 #00013cf1
𢪮 #00022aae
\U00037c10 #00037c10
\U0001c930 #0001c930
𬶆 #0002cd86
\U000319b0 #000319b0
\U00011dbc #00011dbc
\U00019f69 #00019f69
\U0001a1d6 #0001a1d6
\U0001cd65 #0001cd65
𩷉 #00029dc9
\U0003501c #0003501c
𰝇 #00030747
𠅤 #00020164
𠋌 #000202cc
\U0003d3a9 #0003d3a9
趸 #00008db8
\U0003db49 #0003db49
偶 #00005076
园 #000056ed
𠱊 #00020c4a
𦪔 #00026a94
\U000141d6 #000141d6
꺱 #0000aeb1
𭱝 #0002dc5d
曓 #000066d3
ŧ #00000167
𗵒 #00017d52
𮚤 #0002e6a4
纇 #00007e87
胮 #000080ee
𧐝 #0002741d
\U0001ae97 #0001ae97
\U00035850 #00035850
췐 #0000cdd0
ぴ #00003074
\U0001e460 #0001e460
氉 #00006c09
⫌ #00002acc
𪐁 #0002a401
ฺ #00000e3a
轨 #00008f68
𭋠 #0002d2e0
ᩂ #00001a42
ứ #00001ee9
𡎒 #00021392
晱 #00006671
\U000316a1 #000316a1
𮥞 #0002e95e
鐢 #00009422
澅 #00006f85
𰉂 #00030242
萌 #0000840c
揌 #000063cc
\U000107b6 #000107b6
𭥯 #0002d96f
橱 #00006a71
𨟧 #000287e7
𑱐 #00011c50
鶎 #00009d8e
\U000373e9 #000373e9
\U000374b9 #000374b9
䬺 #00004b3a
ᴡ #00001d21
댩 #0000b329
𡪚 #00021a9a
\U00031eb6 #00031eb6
𣒙 #00023499
ꬄ #0000ab04
\U0001ec46 #0001ec46
\U00032fac #00032fac
뼕 #0000bf15
流 #00006d41
啑 #00005551
脉 #00008109
\U0003b9fd #0003b9fd
\U00036cab #00036cab
⸉ #00002e09
𠦺 #000209ba
𞋩 #0001e2e9
\U000341fc #000341fc
己 #00005df1
冷 #0000f92e
\U0001dd35 #0001dd35
\U0001ef65 #0001ef65
田 #00007530
嫭 #00005aed
𠡣 #00020863
㹸 #00003e78
𓇋 #000131cb
𪴅 #0002ad05
\U0003769d #0003769d
𗕟 #0001755f
\U00019bd7 #00019bd7
红 #00007ea2
\U00012953 #00012953
Ք #00000554
嵡 #00005d61
č #0000010d
\U0001eb25 #0001eb25
𰟶 #000307f6
\U0003acc0 #0003acc0
\U00012e1d #00012e1d
𗸕 #00017e15
갶 #0000ac36
\U00010d77 #00010d77
𰃬 #000300ec
ퟬ #0000d7ec
𣠦 #00023826
㒞 #0000349e
𨮝 #00028b9d
晉 #00006649
駪 #000099ea
𨓻 #000284fb
\U00032ab0 #00032ab0
𪣋 #0002a8cb
🍉 #0001f349
𪜆 #0002a706
\U00015c46 #00015c46
𠳋 #00020ccb
閩 #000095a9
\U0003d489 #0003d489
豥 #00008c65
\U000155cc #000155cc
沝 #00006c9d
靎 #0000974e
ᅠ #00001160
𧂜 #0002709c
🬳 #0001fb33
𧓜 #000274dc
\U00033937 #00033937
𑇎 #000111ce
𑅓 #00011153
\U00019f30 #00019f30
걘 #0000ac58
\U0001e33a #0001e33a
\U00014107 #00014107
尺 #00005c3a
掵 #000063b5
\U0003e41d #0003e41d
㤧 #00003927
\U0001bd6c #0001bd6c
\U00032454 #00032454
\U000142d0 #000142d0
\U0002f055 #0002f055
랩 #0000b7a9
𔔐 #00014510
\U00019e79 #00019e79
𗐵 #00017435
\U0003bda0 #0003bda0
拍 #000062cd
덷 #0000b377
𪵽 #0002ad7d
\U00037e11 #00037e11
\U0001a4f7 #0001a4f7
\U0003dcd7 #0003dcd7
调 #00008c03
\U0001eab8 #0001eab8
𠊲 #000202b2
𒓲 #000124f2
𰊗 #00030297
轒 #00008f52
𢵢 #00022d62
鹄 #00009e44
𡢠 #000218a0
\U0003b4fd #0003b4fd
𤫽 #00024afd
憹 #000061b9
𱄘 #00031118
\U00038b05 #00038b05
\U00033b2f #00033b2f
𠨡 #00020a21
\U0001bea9 #0001bea9
\U0003521b #0003521b
\U0002f2dc #0002f2dc
㐩 #00003429
\U00036d67 #00036d67
\U00012ed3 #00012ed3
\U00016cfe #00016cfe
𣒁 #00023481
\ue040 #0000e040
\U0001958e #0001958e
𠟆 #000207c6
𥄬 #0002512c
\U000197c9 #000197c9
껱 #0000aef1
룇 #0000b8c7
\U00031d11 #00031d11
\U0001a597 #0001a597
𡘂 #00021602
𨰨 #00028c28
꺲 #0000aeb2
𧌥 #00027325
\U0001e08c #0001e08c
\U00033e59 #00033e59
磟 #000078df
\u206a #0000206a
\U000330de #000330de
㱲 #00003c72
杲 #00006772
\U00032c1d #00032c1d
𫍎 #0002b34e
\uf05d #0000f05d
\U00015c20 #00015c20
\U00036ea2 #00036ea2
𰇖 #000301d6
泇 #00006cc7
𭚮 #0002d6ae
ꢛ #0000a89b
𰼙 #00030f19
杭 #0000676d
\U000397f1 #000397f1
깃 #0000ae43
\U00033621 #00033621
巴 #00005df4
𩫀 #00029ac0
\U000128c3 #000128c3
𤺲 #00024eb2
疗 #00007597
𥆟 #0002519f
\U00015460 #00015460
\U0001cdfe #0001cdfe
嶃 #00005d83
基 #000057fa
\U00010be9 #00010be9
臋 #000081cb
菧 #0002f99e
嶇 #00005d87
瑔 #00007454
\U000353a8 #000353a8
\U0003fa1e #0003fa1e
怕 #00006015
𝛔 #0001d6d4
璈 #00007488
𮙯 #0002e66f
䂜 #0000409c
据 #0000636e
\U00034d75 #00034d75
𫎒 #0002b392
\U00039373 #00039373
\U0001b32b #0001b32b
\U000336e7 #000336e7
𬛆 #0002c6c6
新 #000065b0
𐮮 #00010bae
𛊰 #0001b2b0
\ue7ee #0000e7ee
\U0003c60b #0003c60b
\U00037019 #00037019
𑁖 #00011056
굍 #0000ad4d
莉 #00008389
𦬣 #00026b23
\U0001db1f #0001db1f
\U00015a6e #00015a6e
こ #00003053
\U0001b88b #0001b88b
\U00037adb #00037adb
𢊩 #000222a9
\U0001bcbc #0001bcbc
𠽤 #00020f64
눡 #0000b221
\U0001e782 #0001e782
𑰇 #00011c07
\U0003478d #0003478d
蔓 #00008513
𞤟 #0001e91f
𢹖 #00022e56
\U000135e0 #000135e0
𞣊 #0001e8ca
\ue4f2 #0000e4f2
\U00013c96 #00013c96
誓 #00008a93
𨬇 #00028b07
\U00032c37 #00032c37
幼 #00005e7c
\U0001fdb0 #0001fdb0
𘈕 #00018215
𭜠 #0002d720
\U0001259a #0001259a
\U0003d4a1 #0003d4a1
ਫ #00000a2b
\uf8b2 #0000f8b2
\U0003b693 #0003b693
䮻 #00004bbb
𭮩 #0002dba9
\U00036416 #00036416
\U0001073e #0001073e
\U0002fbb4 #0002fbb4
\U00015021 #00015021
\u09b3 #000009b3
\U000367f8 #000367f8
뭉 #0000bb49
\U00037b9b #00037b9b
\U0002edae #0002edae
𤌿 #0002433f
\U0001fd9d #0001fd9d
\U0001a41e #0001a41e
䇤 #000041e4
\U0001fe53 #0001fe53
𦵞 #00026d5e
㲐 #00003c90
\U00033f70 #00033f70
\U000167a5 #000167a5
ᅄ #00001144
侠 #00004fa0
틔 #0000d2d4
𭌍 #0002d30d
亚 #00004e9a
ᦝ #0000199d
\U0001dda0 #0001dda0
\U00039179 #00039179
鍡 #00009361
𑩵 #00011a75
管 #00007ba1
𤡋 #0002484b
理 #0000f9e4
— #00002014
𰕏 #0003054f
\u0a0b #00000a0b
퇘 #0000d1d8
挊 #0000630a
馶 #000099b6
𠀐 #00020010
𢃁 #000220c1
𢈚 #0002221a
𪙳 #0002a673
\U00031d18 #00031d18
\U0001e243 #0001e243
\U0001afd4 #0001afd4
听 #0000542c
𬺌 #0002ce8c
\U0003cf0e #0003cf0e
𦚠 #000266a0
俷 #00004ff7
\U0001c741 #0001c741
牧 #00007267
\U0003df7d #0003df7d
軩 #00008ee9
𪏮 #0002a3ee
\U0003ecd0 #0003ecd0
► #000025ba
\U0003eb36 #0003eb36
𩷺 #00029dfa
㻟 #00003edf
𣧿 #000239ff
𣀧 #00023027
\U0003db55 #0003db55
𫋐 #0002b2d0
Ꮿ #000013ef
\U0003cc09 #0003cc09
ꆨ #0000a1a8
\ue41c #0000e41c
⍋ #0000234b
㬑 #00003b11
𮯚 #0002ebda
\U0001ebb5 #0001ebb5
\U00019bf5 #00019bf5
ೕ #00000cd5
\U0001a3d3 #0001a3d3
𥧴 #000259f4
\U0003475e #0003475e
\U0002ee68 #0002ee68
\U0001ce23 #0001ce23
罪 #00007f6a
\U00035e48 #00035e48
煢 #00007162
\U0003606e #0003606e
𥼻 #00025f3b
原 #0000539f
𓄼 #0001313c
𬐾 #0002c43e
넘 #0000b118
뭊 #0000bb4a
\U0001a8ec #0001a8ec
\uf6c2 #0000f6c2
\U0003d80e #0003d80e
遇 #00009047
冯 #000051af
括 #000062ec
덠 #0000b360
𫇊 #0002b1ca
𘥣 #00018963
𤏚 #000243da
𱂫 #000310ab
柯 #000067ef
𤠧 #00024827
\U0003f100 #0003f100
襭 #0000896d
𗩚 #00017a5a
\U00016b92 #00016b92
\U000370a8 #000370a8
\U0003dd99 #0003dd99
\U0001137d #0001137d
\U0001ff5d #0001ff5d
\U00031ec9 #00031ec9
𰫦 #00030ae6
ਭ #00000a2d
\U0003b3f2 #0003b3f2
\U0001b780 #0001b780
\U00035581 #00035581
\U0003cf77 #0003cf77
\U0001ea3e #0001ea3e
𠗣 #000205e3
\U00037118 #00037118
\U00032690 #00032690
𠙬 #0002066c
\U0001dcbb #0001dcbb
𢩸 #00022a78
𤄺 #0002413a
𫳫 #0002bceb
𒄂 #00012102
\U00014a20 #00014a20
𡔌 #0002150c
\U000366c7 #000366c7
\U0003477e #0003477e
𣰻 #00023c3b
𮖌 #0002e58c
\U00035c48 #00035c48
\U0002f53a #0002f53a
𛆈 #0001b188
\U000361b1 #000361b1
\U0001eb97 #0001eb97
𮅌 #0002e14c
ᇇ #000011c7
\U00034070 #00034070
\U0001e286 #0001e286
𘤴 #00018934
\U00013bd6 #00013bd6
𥾿 #00025fbf
㝬 #0000376c
\U00038796 #00038796
𫉘 #0002b258
𥅜 #0002515c
繁 #00007e41
𢛲 #000226f2
\U00038697 #00038697
\U0001bde0 #0001bde0
紉 #00007d09
𣴚 #00023d1a
🥮 #0001f96e
\U00032147 #00032147
궚 #0000ad9a
𬏭 #0002c3ed
诗 #00008bd7
革 #00009769
𮣡 #0002e8e1
\uefaa #0000efaa
\U0003a9ec #0003a9ec
ு #00000bc1
𗷤 #00017de4
\U0003737a #0003737a
\uf20a #0000f20a
\U00038d01 #00038d01
鬦 #00009b26
𒁪 #0001206a
\U0001cc9c #0001cc9c
𦺽 #00026ebd
𗻗 #00017ed7
𪴆 #0002ad06
🛑 #0001f6d1
𪙒 #0002a652
\U0003ae08 #0003ae08
\uf3b9 #0000f3b9
\U00031aea #00031aea
Ҟ #0000049e
𢐭 #0002242d
\U000378b1 #000378b1
𬢇 #0002c887
\ue8a3 #0000e8a3
⪚ #00002a9a
\U0003dacd #0003dacd
\U0003670a #0003670a
\U000134a8 #000134a8
䯯 #00004bef
臭 #0000fa5c
\u05ce #000005ce
\U00039c47 #00039c47
𫖳 #0002b5b3
ꍩ #0000a369
➥ #000027a5
𓃄 #000130c4
𥀧 #00025027
쉲 #0000c272
\U0003eca0 #0003eca0
𣷑 #00023dd1
𩶜 #00029d9c
\U0001901c #0001901c
𰜐 #00030710
\U00019441 #00019441
𢘤 #00022624
\U00018e2b #00018e2b
𤶐 #00024d90
韰 #000097f0
\U000134df #000134df
\U0003d69c #0003d69c
\U00019bd4 #00019bd4
𥘊 #0002560a
\U0003e5e2 #0003e5e2
僱 #000050f1
柹 #000067f9
矹 #000077f9
𩋯 #000292ef
䝴 #00004774
\U0003de6c #0003de6c
ඍ #00000d8d
𔖂 #00014582
\U0003b770 #0003b770
𭷈 #0002ddc8
𫩔 #0002ba54
\U0001e7ac #0001e7ac
\U00015d04 #00015d04
\U00035d48 #00035d48
𡒓 #00021493
\ue177 #0000e177
𦅝 #0002615d
\U0001aee4 #0001aee4
\U0003e201 #0003e201
\U00035bcd #00035bcd
𨆕 #00028195
\U0003aa4f #0003aa4f
\U0003cf4e #0003cf4e
腽 #0000817d
㰥 #00003c25
𤷑 #00024dd1
ￛ #0000ffdb
壻 #000058fb
\U0001f85b #0001f85b
\U00032159 #00032159
𨭔 #00028b54
\U0003921c #0003921c
鹌 #00009e4c
\U00038e7c #00038e7c
侈 #00004f88
쭯 #0000cb6f
𩉻 #0002927b
𪞭 #0002a7ad
\U00014657 #00014657
\U0001c370 #0001c370
𪴰 #0002ad30
莔 #00008394
𣏐 #000233d0
뎋 #0000b38b
詋 #00008a4b
\U00012fc2 #00012fc2
𮝒 #0002e752
\U0002ff82 #0002ff82
\U0001c3b7 #0001c3b7
\U00035509 #00035509
\U00035503 #00035503
\U0003e1db #0003e1db
\U0001d390 #0001d390
\U00032f2e #00032f2e
\u1bf7 #00001bf7
𫕇 #0002b547
\U00036971 #00036971
\u0b7a #00000b7a
𨪊 #00028a8a
듨 #0000b4e8
𪔀 #0002a500
\U00038fb9 #00038fb9
\U0001edd1 #0001edd1
ﺝ #0000fe9d
𭽽 #0002df7d
\ue773 #0000e773
ￔ #0000ffd4
漏 #00006f0f
묥 #0000bb25
𩶪 #00029daa
醫 #000091ab
㶙 #00003d99
𩗇 #000295c7
\U0003a68d #0003a68d
𑈐 #00011210
𓅰 #00013170
𑙗 #00011657
𓈍 #0001320d
